hood.name,total,crowded,pct.crowded
Koreatown,19149.219318399635,5012.018142558407,0.2617348550466797
La Canada Flintridge,7054.629094932168,126.03967085101849,0.017866236361251304
La Crescenta-Montrose,6216.237269738076,236.6531600616524,0.0380701620277155
La Habra Heights,3141.604345002318,81.52419851924493,0.025949861779677664
La Mirada,14386.419304691724,1241.5424916932166,0.08629961809109252
La Puente,9291.34507640237,1679.5624275604378,0.18076633832340325
La Rambla,669.8415597441636,78.22843814007489,0.11678648032820345
La Verne,12182.964546691115,345.0325648872523,0.028320903632684618
Ladera Heights,5539.570067743124,145.1991377753899,0.026211264773214695
Lafayette Square,1474.4726406244106,179.0152357593722,0.12140966934697595
Lake Balboa,13210.331942363982,1790.799107677517,0.13556049276359472
Lake Hughes,71.81082993417499,2.3371781782787675,0.032546318994239855
Lake Los Angeles,3763.9441017643253,165.32775530122692,0.043924072948833263
Lake Manor,693.4933369064818,7.785898595675944,0.011227070515784752
Lakeview Terrace,3483.0064944854635,376.3195925657841,0.10804447053475189
Lakewood,25958.218664118776,1259.4595576614431,0.048518720562376424
Lancaster,47383.416980271286,1965.7589321606624,0.04148622149768414
Lawndale,9763.528069434635,1573.9967631064333,0.16121188487529764
Leimert Park,6372.332946764441,229.89093536019234,0.03607641616982988
Lennox,4639.593837230726,1398.0905609819304,0.3013389986345056
Leona Valley,1255.3447428417003,7.954979519959676,0.00633688838490066
Lincoln Heights,9129.936530375107,1488.7686864239831,0.16306451654629592
Little Armenia,2653.1415140881045,617.0296696294876,0.2325656834937292
Little Bangladesh,11522.84727367804,2588.9512647620654,0.22467982116504126
Little Tokyo,2309.95362898691,279.7086824300183,0.12108844044314941
Littlerock,247.2492328014087,23.369579858782757,0.09451831091242767
Littlerock/Juniper Hills,383.56729653065315,15.601896096183168,0.04067577251059079
Littlerock/Pearblossom,1793.437263108475,169.49758365316336,0.09450990404837563
Llano,1008.1030154391613,41.045291296879185,0.04071537399280427
Lomita,8040.43026532684,400.84549509310403,0.04985373691028584
Long Beach,163267.4267014092,18922.969348806557,0.11590168186709854
Longwood,1316.1995910611527,100.87081239810843,0.07663793020691025
Los Feliz,10616.222991956723,292.90626698517644,0.027590440329587462
Lynwood,15691.202627944345,3966.023863835471,0.2527546140263595
Malibu,4003.804196165143,97.08359499499225,0.02424783786579255
Manchester Square,3124.614609341171,149.8815352368149,0.047968006930754765
Mandeville Canyon,1107.699994169258,0.2528226150275442,2.282410547606382e-4
Manhattan Beach,13328.419163036544,187.1921037240281,0.0140445840901496
Mar Vista,17993.918502447454,1235.5298293845651,0.0686637448767212
Marina del Rey,3366.496466899132,68.79282094779457,0.02043454422845701
Marina Peninsula,1965.1366469938405,10.953384757038409,0.005573853998292843
Maywood,6330.465915533842,2181.0132278180536,0.34452649408730457
Melrose,30006.704029670327,4556.13935486461,0.151837381085225
Mid-city,6637.317009300262,674.9533080768035,0.101690684222413
Miracle Mile,8711.00214900782,208.24275259142777,0.023905717049461015
Mission Hills,6355.1084632609545,904.5316720056967,0.14233142946887808
Monrovia,14554.8842246439,722.3772001542033,0.049631257040924824
Montebello,19273.341328903294,2474.7747260019855,0.12840403144267912
