hood.name,total,pct.below.poverty
Covina,66430.7785399622,0.08175203331399755
Covina (Charter Oak),11792.970449924997,0.09495681582811819
Crenshaw District,13546.203220913196,0.18991650369009855
Crestview,10939.374496805183,0.14704269032092235
Cudahy,24647.448820089616,0.2818796325854197
Culver City,35994.56167603008,0.07610561084498117
Del Aire,5118.101582115549,0.16996012443458822
Del Rey,29347.984270139757,0.14778100871973238
Del Sur,3551.1718487283297,0.1373842618763201
Desert View Highlands,1922.9560724845767,0.10388092684097355
Diamond Bar,45756.702372728876,0.06179668070184678
Downey,112097.90914462137,0.09926752199987736
Downtown,28613.63964703696,0.26384050159097366
Duarte,24929.372976597737,0.11579762632563494
Eagle Rock,37401.808606306186,0.09672289366879751
East Covina,596.0478387838889,0.04338328153479177
East Hollywood,26965.377299313528,0.24232860724227584
East La Mirada,5292.1031784055185,0.11854891080082373
East Lancaster,41.40158390816296,0.20930969221599766
East Los Angeles,117871.96037011742,0.21149724335040274
East Pasadena,8702.159459581126,0.05178273547080124
East Rancho Dominguez,12442.598516122516,0.24573328806752043
East Whittier,4933.720765136614,0.05720551739026209
Echo Park,13387.636639444723,0.1317086717638278
El Camino Village,8644.679007016912,0.13239631061638457
El Monte,108925.97266635556,0.20828970588536297
El Segundo,16648.45808234137,0.07779966125818175
El Sereno,40175.59068953642,0.20415593586874015
Elizabeth Lake,1728.7756099223573,0.09576029273175883
Elysian Park,5472.835376008432,0.2547323531624617
Elysian Valley,10231.2018345131,0.14876355488286525
Encino,47302.26610816148,0.08655377970709043
Exposition,3803.9130187887977,0.12062036927779898
Exposition Park,40635.9347747202,0.29747494372334804
Faircrest Heights,3543.875281708757,0.08883781453907787
Figueroa Park Square,9094.424870000692,0.3020988102390626
Florence-Firestone,108746.15893253795,0.29214121196338755
Franklin Canyon,242.52041070537058,0.0582281770339868
Gardena,58979.78909087809,0.14853855838151134
Glassell Park,31257.06998861661,0.15325997252983564
Glendale,198766.81233539604,0.14844978364570988
Glendora,52691.914910512714,0.09176030312152432
Gramercy Place,10674.102812378009,0.1488895951912336
Granada Hills,55441.56542304947,0.08089446141162333
Green Meadows,21572.655136478028,0.26288050459671003
Hacienda Heights,53852.66222930325,0.08213910534640723
Hancock Park,15647.743266700434,0.08316672977991946
Harbor City,29398.819566731006,0.18019435852219337
Harbor Gateway,41677.61401352895,0.21861968791066497
Harbor Pines,2396.278470579354,0.03785875675489043
Harvard Heights,18110.71708740414,0.22552401213859014
Harvard Park,37836.15486386076,0.26434624538510826
Hawaiian Gardens,14723.666925425008,0.21740683415198367
Hawthorne,89636.57177938483,0.15483974159060246
Hermosa Beach,19383.568658622713,0.05211023091080236
Hi Vista,585.473954598823,0.3286295542321411
Hidden Hills,2339.5708032695106,0.07309392447831332
Highland Park,46213.78885883087,0.1930858677560558
Historic Filipinotown,15365.349467204021,0.2349970040718486
Hollywood,63435.91890819215,0.20411645526914146
Hollywood Hills,27067.525284118656,0.10232346019540471
Huntington Park,60388.876165777554,0.26169238384455595
Hyde Park,26696.92840302541,0.2611900532900673
Industry,22404.02256952255,0.10371208212947672
Inglewood,111510.23104790751,0.18593522852269542
Irwindale,1947.7852631586732,0.09001068908682813
Jefferson Park,7882.032137334669,0.20280245890403
Kagel/Lopez Canyons,4559.8814209855955,0.09360196654026828
Koreatown,49643.44185899135,0.24747687952911415
La Canada Flintridge,21545.95067765584,0.03391324302094426
La Crescenta-Montrose,18003.695514451672,0.06928686317899518
La Habra Heights,9806.37801079668,0.029410692684154485
La Mirada,46163.63232396869,0.06884311853554943
La Puente,40461.58916023455,0.16847983016611282
La Rambla,2006.4095726417595,0.1812179191350679
La Verne,34215.805491889165,0.0729260128166439
Ladera Heights,12554.507152301316,0.07587261864067077
Lafayette Square,3862.8879066985633,0.153033380758948
Lake Balboa,40823.45439486845,0.1586583930096108
Lake Hughes,205.79622418120033,0.14129698629853188
Lake Los Angeles,13038.879566614234,0.29134652795656213
Lake Manor,1787.016604755541,0.07727198478513901
Lakeview Terrace,12631.502830170735,0.12449918699957674
Lakewood,80351.18107355089,0.06711314757058061
Lancaster,148316.88394633567,0.2434851927077219
Lawndale,32705.202108064754,0.13878930859148003
Leimert Park,14626.63199507162,0.17953881522178863
Lennox,18891.659004807276,0.2228089041305334
Leona Valley,3854.300142268536,0.05287027356001537
Lincoln Heights,30833.33704206123,0.23173267783758641
Little Armenia,7152.312622983214,0.24385051098324736
Little Bangladesh,26970.615154352065,0.18720036301391935
Little Tokyo,3938.2142642861672,0.45927791708262067
Littlerock,974.8818656316648,0.17562656012683203
Littlerock/Juniper Hills,1066.7867922457785,0.2258250603446167
Littlerock/Pearblossom,7064.771112162437,0.1770198317609542
Llano,2802.4969765489714,0.22608235743835053
Lomita,20259.79449295394,0.10816560483850142
Long Beach,458315.19977030944,0.18186327944421468
Longwood,3673.0490023456387,0.16623520484959528
Los Feliz,20510.548623409573,0.09218812433004982
Lynwood,69377.50538631466,0.20134654451152423
Malibu,9149.87826835829,0.06784505398806903
Manchester Square,8717.569218551906,0.20139273258684132
Mandeville Canyon,3085.232454413684,0.037750170863189214
Manhattan Beach,35111.91677600963,0.03236093225453883
Mar Vista,42347.487492043714,0.11149485122467234
Marina del Rey,5998.959579382605,0.14271335688858108
Marina Peninsula,3701.9248876325614,0.0838660345073669
Maywood,25819.173220889952,0.25921061470201906
Melrose,72137.68373027287,0.16750589927942303
Mid-city,15341.631368596449,0.09465871788736364
Miracle Mile,16713.849146107495,0.08739111339417131
Mission Hills,23780.515886359957,0.1234345640004003
Monrovia,42757.05515286725,0.08038623519545582
Montebello,63041.91513779819,0.1335813528141947
Monterey Park,60859.27961061035,0.1419493755744729
Mt. Washington,23295.262053822637,0.13737424027937747
Newhall,1269.595797856123,0.06841403166445585
North Hills,62788.85438994712,0.20704181728454973
North Hollywood,134666.38630290906,0.18756912379378415
North Lancaster,5138.2659093759685,0.16776124973096163
North Whittier,6090.11631027922,0.05535961283135172
Northeast San Gabriel,21047.89871323429,0.11111871939461547
Northridge,67067.64153284776,0.14586451834294237
Norwalk,104964.10411948191,0.12954168263107926
Pacific Palisades,20589.36287778098,0.04155038720636247
Pacoima,73327.3822311238,0.2122256780498761
Padua Hills,23.281236238388097,0.024851242562128104
Palisades Highlands,3670.954042284702,0.029826470425167534
Palmdale,155607.92716636625,0.18058073129568075
Palms,39241.4922489777,0.11476975915190968
Palos Verdes Estates,13213.73979565711,0.05408512526411953
Palos Verdes Peninsula,330.98882459294344,0.04805458817112588
Panorama City,69661.30624539258,0.24546378504367014
Paramount,54093.61996944931,0.18701278624029985
Park La Brea,11582.75406948051,0.11990009536255807
Pasadena,138900.04906827095,0.15784129929968563
Pearblossom/Llano,507.55220678045947,0.22547071846770558
Pellissier Village,993.2399408152867,0.04666323609995529
Pico Rivera,64189.76011733777,0.10015182442243396
Pico-Union,41246.98527719853,0.33576670512807955
Placerita Canyon,1724.8750128276502,0.030796319929328818
Playa Del Rey,3079.0465972203096,0.03442033615513324
Playa Vista,12752.299800540924,0.10100796679687411
Pomona,148811.741280945,0.20098856052914335
Porter Ranch,34388.52481097148,0.043737536077237224
Quartz Hill,10307.852386395325,0.11515157801495396
Rancho Dominguez,2739.8542208311546,0.09886773932244103
Rancho Palos Verdes,41313.90963269522,0.04823952423499555
Rancho Park,6412.878892302127,0.10351691874011004
Redondo Beach,66521.06960529178,0.044794222978236646
Regent Square,2166.8293150313625,0.10467884487939641
Reseda,76194.91407433062,0.16899374886402532
Reseda Ranch,4485.247699574012,0.10931055144896232
Reynier Village,3577.12302982938,0.08388847207378876
Rolling Hills,1724.1864403325956,0.01724944433980959
Rolling Hills Estates,9475.824671525592,0.038118809419039536
Roosevelt,702.9108129709136,0.20936431025752703
Rosemead,52286.114125848086,0.16362298116675514
Rosewood,836.5204807283451,0.18485354378509639
Rosewood/East Gardena,1186.2736365782607,0.11913466433223019
Rosewood/West Rancho Dominguez,3057.625561347865,0.26740863224348865
Rowland Heights,49369.380899039745,0.10331308300606018
San Clemente Island,79.03744728562133,0.027272727272727275
San Dimas,32883.00375479683,0.0832191923817854
San Fernando,24617.896014662245,0.146765670704867
San Francisquito Canyon/Bouquet Canyon,1408.3306051271793,0.04527566610573826
San Gabriel,40535.599573315754,0.12320187704821564
San Jose Hills,20152.280320879865,0.15437273922391823
San Marino,13310.398813912192,0.09082271942522037
San Pasqual,1921.8058030971736,0.07633237219772965
San Pedro,75166.88642643744,0.16772244570791803
Sand Canyon,121.93446591425618,0.056780854059127174
Santa Catalina Island,129.53039847161048,0.03927528586727362
Santa Clarita,201723.24393694274,0.08672686240596852
Santa Fe Springs,22716.701183030378,0.13972417738917708
Santa Monica,91221.88684520648,0.10380407495357614
Santa Monica Mountains,32004.918252780142,0.07126192849016358
Saugus,3094.0016582284015,0.06850549970115112
Saugus/Canyon Country,364.3527581906226,0.33876687595088334
Shadow Hills,4169.546661315011,0.06585129696786624
Sherman Oaks,90544.51807691956,0.08070315064292645
Sierra Madre,11006.577307658565,0.05685427485458013
Signal Hill,11430.825263032524,0.13655642408970434
Silverlake,42560.00220855569,0.10574825190953432
South Antelope Valley,1062.3263572893027,0.15349695928100865
South Carthay,9751.814921399291,0.14577421063174478
South Edwards,9.333771728087372,0.16730014083725211
South El Monte,21548.671720066617,0.2191072961295617
South Gate,94719.05371313154,0.18780692143566316
South Park,36911.307170764994,0.3877332592629044
South Pasadena,25653.788941903218,0.08728817467276648
South San Gabriel,10194.94363702716,0.09603614443222568
South Whittier,55378.68923533662,0.10669398085824386
Southeast Antelope Valley,1532.5142414634386,0.08133513025509471
St Elmo Village,3842.811349213493,0.31287155521383997
Stevenson Ranch,21564.832184989806,0.05652822476195901
Studio City,23353.597166316322,0.0571115831551279
Sun Valley,52895.1471758715,0.17921509583032605
Sun Village,2920.9085340562206,0.1974600517500632
Sunland,18379.864005022933,0.10640639306186694
Sunrise Village,502.79992731522685,0.15145962820973535
Sycamore Square,962.1972033390177,0.1275346230018852
Sylmar,77727.84875024481,0.13514292623144575
Tarzana,29858.71537118161,0.10439438684002852
Temple City,37037.97873126854,0.118712625660422
