hood.name,gte65,total,pct.gte65
Encino,9371.57554935809,47562.180229332815,0.19703839277700727
Exposition,435.34924741518375,3818.9087492297203,0.11399833722211727
Exposition Park,3974.531962297917,44668.12490835949,0.08897915393699674
Faircrest Heights,482.99855427953213,3555.862155407126,0.13583163046550423
Figueroa Park Square,965.9297250108273,9155.474580578877,0.10550296617717812
Florence-Firestone,6728.207795771377,109199.17593724736,0.061614089465636845
Franklin Canyon,47.84722550286711,243.9324882324787,0.19614945860457317
Gardena,9693.48905528588,59860.849656996535,0.16193370309358623
Glassell Park,4236.8078394251,31330.52640825677,0.13522938568655973
Glendale,34308.97316398551,200270.89456111513,0.1713128272541655
Glendora,8561.746507390404,55488.53507551955,0.15429757689111673
Gramercy Place,2039.4749680204352,10692.123900864972,0.19074554194564147
Granada Hills,9165.218071762813,55854.85977042092,0.16408989494261414
Green Meadows,1502.1241491140481,21584.662738075247,0.06959219920839013
Hacienda Heights,10029.20599326989,53931.19893869177,0.18596297116759727
Hancock Park,2188.4509082861223,15776.61732693988,0.13871483746703808
Harbor City,3818.318423005562,29489.19021160192,0.12948196934561204
Harbor Gateway,4569.956654330708,41800.64822710008,0.10932741113253662
Harbor Pines,362.4903683177651,2396.332743704021,0.15126879573387722
Harvard Heights,1722.2270865789083,18310.75689279096,0.09405548316011765
Harvard Park,3540.9660014441733,37961.165332259574,0.09327864333066309
Hawaiian Gardens,1585.5196952840613,14779.018215406726,0.10728180127900512
Hawthorne,8087.1922358992515,90064.15909905129,0.08979367949247238
Hermosa Beach,2268.5260546029926,19414.16588021491,0.11684900956341682
Hi Vista,166.1689487683584,589.4786355572961,0.2818913845982924
Hidden Hills,297.093113848742,2339.5710083501526,0.12698614950706275
Highland Park,4881.4537949848345,46579.539147924865,0.10479824155156557
Historic Filipinotown,1726.3665388743398,15482.810112331392,0.11150214504661289
Hollywood,6971.936623628502,64073.58437340447,0.10881140319851373
Hollywood Hills,3671.904178618347,27095.821786609213,0.13551551259585737
Huntington Park,4968.668876006338,60578.32653506946,0.08202057006526783
Hyde Park,3805.7856821400965,26838.733710438606,0.14180198377466227
Industry,3346.0699894503045,22491.87620848644,0.14876793551743783
Inglewood,12857.833890860109,112106.85052210849,0.11469266892235482
Irwindale,266.8672927340815,1958.2716083299968,0.13627695545341867
Jefferson Park,852.3752483776641,7945.064968898293,0.10728360960097463
Kagel/Lopez Canyons,711.8256509774459,4764.047740360217,0.1494161456332559
Koreatown,5327.554093246333,49846.66730106373,0.10687884229188262
La Canada Flintridge,3857.549167623238,21647.990489930613,0.17819433029673334
La Crescenta-Montrose,2975.4385427120365,18059.526926502596,0.16475728045486843
La Habra Heights,2296.3606440533163,9954.658760350823,0.23068200521344517
La Mirada,8266.911858448064,49160.58982224775,0.16816136438433968
La Puente,4653.332878028535,40642.076789884886,0.11449545017312376
La Rambla,529.1192023733953,2271.3469619072566,0.23295393052987923
La Verne,6624.631656994699,34985.37077913886,0.1893543360970994
Ladera Heights,2694.292850932766,12607.04295153284,0.21371330781459566
Lafayette Square,550.0053271075591,3863.0205670955233,0.14237701238051906
Lake Balboa,4301.014755991936,40919.657815890285,0.10510876643552303
Lake Hughes,18.934526493734612,213.12332376213487,0.08884305180444388
Lake Los Angeles,1510.0819880632619,13089.87092856343,0.11536263392545065
Lake Manor,228.42235202982621,1787.016604755541,0.12782329577797838
Lakeview Terrace,1836.7413426115347,13234.007969470167,0.13878949951131622
Lakewood,10697.684598805088,80665.67094288982,0.1326175617677426
Lancaster,15868.929634118012,154912.90474548264,0.102437751459055
Lawndale,3108.1359090317183,32802.42051242091,0.094753248707814
