hood.name,tract.fips,pct.of.tract
Pacoima,06037119202,0.0033563651589659576
Panorama City,06037119202,2.3579759708265772e-4
Arleta,06037119310,6.586383364904338e-5
Mission Hills,06037119310,0.002970850695400898
North Hills,06037119310,0.020206477150401806
Panorama City,06037119310,0.9767568083205393
North Hills,06037119320,1.3301759231100176e-9
Panorama City,06037119320,0.9999999986698233
Panorama City,06037119340,1
Arleta,06037119341,1.6679719205039083e-4
Panorama City,06037119341,0.9998332028079316
Arleta,06037119342,4.090684229252774e-5
Panorama City,06037119342,0.9999590931577484
Arleta,06037119400,0.9999975525131658
Panorama City,06037119400,2.447486844122426e-6
Arleta,06037119700,0.2689385850041521
North Hollywood,06037119700,0.0011621624186499457
Panorama City,06037119700,0.7282261048825701
Sun Valley,06037119700,0.0016617159454909913
Van Nuys,06037119700,1.1431749151284506e-5
Arleta,06037119800,0.9999975050595601
Panorama City,06037119800,2.4949404581924167e-6
Arleta,06037119900,1.489149285111388e-5
Panorama City,06037119900,0.9999851085071765
North Hills,06037120010,1.221930888340589e-5
Panorama City,06037120010,0.9961010736879502
Van Nuys,06037120010,0.003886707003141204
Panorama City,06037120020,0.999924548250666
Van Nuys,06037120020,7.545174941604398e-5
Panorama City,06037120030,1
Panorama City,06037120103,1
Panorama City,06037120104,1
Arleta,06037120105,1.8500152084620738e-4
Panorama City,06037120105,0.999814998479121
North Hills,06037120106,3.6524562779695334e-8
Panorama City,06037120106,0.9999999634754493
North Hills,06037120107,5.7035580649679625e-08
Panorama City,06037120107,0.999999942964431
North Hills,06037120108,0.0029283185412217836
Panorama City,06037120108,0.9970716814587565
Panorama City,06037120300,0.999792404613302
Van Nuys,06037120300,2.075953867036828e-4
Arleta,06037120400,3.832856192663648e-6
Panorama City,06037120400,0.9999869165171954
Van Nuys,06037120400,9.250626499709557e-6
Arleta,06037121010,3.33694677617043e-7
North Hollywood,06037121010,0.2768603267312591
Sun Valley,06037121010,0.7231393395740613
North Hollywood,06037121020,1
Sun Valley,06037121101,1
Lakeview Terrace,06037121102,3.3147795618195705e-8
Pacoima,06037121102,1.642015183671686e-6
Shadow Hills,06037121102,0.2364102193033973
Sun Valley,06037121102,0.762961906853581
Sunland,06037121102,6.26198680040228e-4
Arleta,06037121210,5.3863951200532614e-9
Pacoima,06037121210,1.436193201268528e-5
Sun Valley,06037121210,0.9999856326816005
North Hollywood,06037121221,3.313585836318487e-8
Sun Valley,06037121221,0.9999999668641194
Sun Valley,06037121222,1
North Hollywood,06037121600,0.9999922226861656
Sun Valley,06037121600,7.777313831926269e-6
North Hollywood,06037121801,1
North Hollywood,06037121802,0.9917941213573637
Sun Valley,06037121802,0.008205878642675858
North Hollywood,06037121900,0.3833783031932567
Sun Valley,06037121900,0.6166216968067229
Arleta,06037122000,7.186291525633615e-4
North Hollywood,06037122000,0.6654828973641682
Panorama City,06037122000,1.6737283953571037e-5
Sun Valley,06037122000,0.3337816302442749
Van Nuys,06037122000,1.0595507465984404e-7
North Hollywood,06037122120,1.8461812236939008e-5
Sun Valley,06037122120,0.9999815381877579
North Hollywood,06037122121,2.2277599613446518e-6
Sun Valley,06037122121,0.9999977722400498
North Hollywood,06037122122,1.2037303747712813e-10
Sun Valley,06037122122,0.9999999998796657
Burbank,06037122200,0.001240543930140917
Sun Valley,06037122200,0.9987594560698723
North Hollywood,06037122410,1
North Hollywood,06037122420,0.999969034488482
Sun Valley,06037122420,3.096551150389189e-5
Burbank,06037123010,3.687557803737127e-6
North Hollywood,06037123010,7.750949716580822e-5
Sun Valley,06037123010,0.9999188029449994
Burbank,06037123020,4.12980035275615e-6
Sun Valley,06037123020,0.9999958701996372
Burbank,06037123103,7.111346154385429e-4
North Hollywood,06037123103,0.9992885676770885
Sun Valley,06037123103,2.9770751117596126e-7
North Hollywood,06037123104,1
North Hollywood,06037123203,1
North Hollywood,06037123204,1
North Hollywood,06037123205,0.9999999984935013
Sun Valley,06037123205,1.5064296098469427e-9
North Hollywood,06037123206,0.9999742667827036
Sun Valley,06037123206,2.5733217284068836e-5
North Hollywood,06037123301,1
North Hollywood,06037123303,0.9999956552496093
Valley Glen,06037123303,4.344750355309171e-6
North Hollywood,06037123304,1
North Hollywood,06037123410,0.9993288177035143
Valley Glen,06037123410,9.392867197648786e-8
Van Nuys,06037123410,6.710883677900793e-4
North Hollywood,06037123420,0.41133555250182646
Valley Glen,06037123420,0.5886644474981935
North Hollywood,06037123510,0.003063250194065633
Valley Glen,06037123510,0.40342816597985215
Van Nuys,06037123510,0.5935085838261303
North Hollywood,06037123520,3.04620433638874e-8
Valley Glen,06037123520,0.9999998650996069
Van Nuys,06037123520,1.0443834979863255e-7
North Hollywood,06037123601,0.0048736054087491045
Sherman Oaks,06037123601,7.60916831033585e-5
Valley Glen,06037123601,0.994832631461831
Valley Village,06037123601,2.1767144640789384e-4
Valley Glen,06037123602,1
North Hollywood,06037123700,0.9999813904260687
Valley Glen,06037123700,1.8609573928882366e-5
North Hollywood,06037123800,0.9999882406711983
Valley Village,06037123800,1.175932878880647e-5
North Hollywood,06037123901,1
North Hollywood,06037123902,0.9999858399160976
Valley Village,06037123902,1.4160083910071521e-5
Sherman Oaks,06037124000,5.266453997438986e-4
Valley Village,06037124000,0.9994733546002201
North Hollywood,06037124102,1
North Hollywood,06037124103,1
North Hollywood,06037124104,1
North Hollywood,06037124105,1
North Hollywood,06037124201,1
North Hollywood,06037124203,1
North Hollywood,06037124204,1
North Hollywood,06037124300,1
North Hollywood,06037124400,0.6689164618386332
Valley Glen,06037124400,2.099964404668465e-5
Valley Village,06037124400,0.33106253851732065
Sherman Oaks,06037124500,0.5339675801352913
Valley Glen,06037124500,0.4660324198646946
Sherman Oaks,06037124600,1
Sherman Oaks,06037124700,0.9963877640581643
Valley Glen,06037124700,6.430741940146642e-4
Valley Village,06037124700,0.002969161747810195
North Hollywood,06037124902,9.102089699834176e-6
Valley Village,06037124902,0.9999908979103065
Valley Village,06037124903,1
North Hollywood,06037125100,6.513789914686417e-6
Sherman Oaks,06037125100,2.603311617904755e-10
Valley Village,06037125100,0.9999934859497163
North Hollywood,06037125200,0.25719929110732354
Valley Village,06037125200,0.7428007088927232
North Hollywood,06037125310,0.7858689703951351
Toluca Terrace,06037125310,0.2141304385060664
