hood.name,total,pct.asian,pct.black,pct.latino,pct.other,pct.white,top.group,is.majority
Compton,99932.6725687598,0.008393390016393061,0.27997838538764175,0.68633017806271,0.011819403654298075,0.013478642878957042,latino,TRUE
Country Club Park,14193.607697864967,0.3806315916571063,0.09297779588445573,0.36818404085223355,0.033118687856135365,0.1250878837500691,asian,FALSE
Covina,66884.26974374866,0.13513278888593463,0.03172963592726382,0.6064294328161661,0.025858391886052167,0.20084975048458323,latino,TRUE
Covina (Charter Oak),11906.179092750419,0.14043364948020623,0.031116729441784657,0.5655559123301578,0.03028828031623788,0.23260542843161344,latino,TRUE
Crenshaw District,13573.201808350323,0.07645403848994935,0.39220720729157643,0.433012644418942,0.02345128009332363,0.0748748297062085,latino,FALSE
Crestview,11085.39095164618,0.07377492764499861,0.12030492670096764,0.14231081205133705,0.04785076263560328,0.6157585709670934,white,TRUE
Cudahy,24696.483715906546,0.005205155158255453,0.004614601649874553,0.9564971506063703,0.005811527553021378,0.027871565032478285,latino,TRUE
Culver City,36285.09190563016,0.15528562827676423,0.07150608129154895,0.24439301252124526,0.05682587801835039,0.4719893998920911,white,FALSE
Del Aire,5122.134754137391,0.07142473662645744,0.11513483857288956,0.4875623206088747,0.056305602999131246,0.26957250119264703,latino,FALSE
Del Rey,29360.568785295094,0.14655706755986905,0.05039981046613113,0.3604679443974609,0.05169447151963665,0.3908807060569022,white,FALSE
Del Sur,3584.5312908078,0.038916416741562376,0.1423265950958903,0.2152822028276129,0.0315652723891569,0.5719095129457775,white,TRUE
Desert View Highlands,1941.0479190275707,0.07068095914158257,0.09455644051890741,0.5336978537603823,0.057336530001485246,0.24372821657764254,latino,TRUE
Diamond Bar,45855.96399713264,0.5531310467913596,0.04111792880337344,0.1877603476902443,0.03384608403027311,0.1841445926847496,asian,TRUE
Downey,112958.05818668037,0.07069217410348116,0.030293556293246423,0.7390272282414615,0.015791304427470478,0.14419573693434046,latino,TRUE
Downtown,29522.477997367867,0.2755237754695655,0.12442471256554516,0.25966771922794024,0.04924266739539423,0.2911411253415549,white,FALSE
Duarte,25439.933461224467,0.158761276418289,0.06928398360943176,0.5276886223177257,0.02795103941245279,0.21631507824210075,latino,TRUE
Eagle Rock,39489.73735466888,0.23918206115538979,0.01438461149768896,0.42624429518005313,0.028982664838169418,0.29120636732869865,latino,FALSE
East Covina,611.9108101238692,0.1843547757207536,0.026048820343564656,0.2754125417425279,0.0411060740428452,0.4730777881503088,white,FALSE
East Hollywood,27574.466179010746,0.18363720242530754,0.02468645571853604,0.5386325355718931,0.02411735799508355,0.22892644828917988,latino,TRUE
