csa.hood.name,mapla.region.slug,date,cases,population,rate.cases,new.cases,new.cases.14day,new.cases.14dayavg,rate.new.cases.14dayavg,deaths,rate.deaths,total.homes,crowded,pct.crowded,area,density
Carson,harbor,2021-01-15,6985,93846,7443.044988598343,0,1480,105.71428571428571,112.64655468990229,67,71.39355966157322,25309.477044846226,2584.9804542168094,10.213488210903945,27.52043332717092,3410.0480499100954
Azusa,san-gabriel-valley,2021-01-15,6929,65963,10504.373664023771,0,1209,86.35714285714286,130.91754901557366,45,68.22006276245774,15670.383390191593,2187.374720800747,13.95865478422097,16.432455976892403,4014.1899721355276
Bell Gardens,southeast,2021-01-15,6822,43071,15838.963571776834,0,1216,86.85714285714286,201.660381363662,36,83.58292122309675,9631.878808558522,2916.1601341602186,30.27612984051491,3.592705625315849,11988.457862092015
South Whittier,southeast,2021-01-15,6694,59222,11303.231907061565,0,1083,77.35714285714286,130.62230734717312,52,87.80520752423087,14373.821090791631,2308.872074998282,16.063036129463345,7.791650496934832,7600.700265405568
Burbank,san-fernando-valley,2021-01-15,6552,107180,6113.080798656466,0,1267,90.5,84.43739503638739,105,97.96603844000748,41470.954015530304,2202.5709970586504,5.3111172610927095,25.410628877436885,4217.920009652709
Central,south-la,2021-01-15,6296,38992,16146.901928600737,0,1109,79.21428571428571,203.15522598042088,50,128.23143208863357,8386.353419218418,2983.726406437372,35.578352798723884,2.183496909925661,17857.59339651528
Wilmington,harbor,2021-01-15,6296,56487,11145.927381521411,0,1143,81.64285714285714,144.5338876960312,31,54.879883867084466,13728.970778922525,4283.464275246226,31.20018495357596,10.250336292041387,5510.74602731404
Melrose,central-la,2021-01-15,6293,77696,8099.516062602966,0,1168,83.42857142857143,107.37820663685572,92,118.41021416803953,30006.70469451022,4556.139458023363,15.183738115891535,6.54861985823059,11864.48468257755
Westlake,central-la,2021-01-15,6293,59355,10602.308145901778,0,1121,80.07142857142857,134.90258372745106,160,269.5644848791172,21577.649489133193,8518.95091672692,39.4804397996046,1.6788036551112835,35355.534174164946
South Park,south-la,2021-01-15,6168,37961,16248.25478780854,0,1115,79.64285714285714,209.80178905417966,34,89.56560680698611,9076.429465079065,2712.0452930237516,29.88009000078895,2.102566372310189,18054.60246103454
Watts,south-la,2021-01-15,6098,42674,14289.731452406617,0,1141,81.5,190.982799831279,45,105.45062567371232,10006.926169335758,2240.594152545488,22.390433532040486,3.0410206337088637,14032.788704874489
Vermont Vista,south-la,2021-01-15,6043,41186,14672.461516049143,0,1140,81.42857142857143,197.7093464492095,34,82.55232360510854,10893.67864638869,2449.4254339968097,22.484832842107078,2.763186660886812,14905.25435106937
Pico-Union,central-la,2021-01-15,5774,41842,13799.531571148607,0,1161,82.92857142857143,198.19456868355104,105,250.94402753214473,13010.003261916654,5411.5593149240185,41.595372468237024,1.9563987963842608,21387.25503068737
Harvard Park,south-la,2021-01-15,5757,37935,15175.958877026493,0,1080,77.14285714285714,203.35536349771226,29,76.44655331488072,11147.642253436974,1806.0148196948967,16.200868117543664,3.300407305147732,11494.035884853298
Northridge,san-fernando-valley,2021-01-15,5697,69797,8162.241930168919,0,1090,77.85714285714286,111.54797893482937,59,84.53085376162299,22681.599836831505,1811.7107143132916,7.987579039161717,14.09257859838103,4952.748676386191
Lakewood,harbor,2021-01-15,5564,80362,6923.670391478559,0,1261,90.07142857142857,112.08211414776707,19,23.64301535551629,25958.219041262084,1259.4596363187293,4.851872288760433,13.789417767382002,5827.80225790905
Arleta,san-fernando-valley,2021-01-15,5552,34370,16153.622345068376,0,1060,75.71428571428571,220.29178270086035,33,96.01396566773349,7541.065514298416,1542.2612909751406,20.451503677443185,4.190958252719563,8200.988396316498
La Puente,san-gabriel-valley,2021-01-15,5459,40697,13413.765142393788,0,881,62.92857142857143,154.6270521870689,33,81.08705801410423,9291.345308370379,1679.5624646498547,18.076633780220956,5.07075270936885,8025.8301543293965
Bell,southeast,2021-01-15,5407,36332,14882.197511835297,0,1007,71.92857142857143,197.97581038360516,52,143.12451833094792,9162.611385224478,2372.20645894345,25.89006953594957,3.8165056396020454,9519.702951045138
Alhambra,san-gabriel-valley,2021-01-15,5355,86724,6174.761311747613,0,1114,79.57142857142857,91.752489012763,40,46.12333379456667,29428.312221108696,3505.8457996445873,11.913173182694017,11.154234803851548,7774.984257105138
San Pedro,harbor,2021-01-15,5311,78038,6805.658781619211,0,921,65.78571428571429,84.29959030948294,35,44.84994489863912,28348.827309313267,2163.6457126916653,7.632222980810413,17.27090854879456,4518.465243419215
Wholesale District,central-la,2021-01-15,5258,36129,14553.405851255224,0,679,48.5,134.24119128677793,42,116.25010379473554,12249.618938499241,1967.5171646009492,16.061864246382825,9.165182278871475,3941.983792650617
Winnetka,san-fernando-valley,2021-01-15,5209,51786,10058.703124396556,0,976,69.71428571428571,134.61994692443074,33,63.72378635152358,16734.59873632185,2662.6233881163353,15.9108887525173,7.347339537769504,7048.265529827566
Torrance,south-bay,2021-01-15,5162,149268,3458.209395181821,0,1106,79,52.92494037570008,79,52.92494037570008,54338.31925294679,3173.677709270089,5.8405886543831205,29.866113447518515,4997.90507600855
El Sereno,eastside,2021-01-15,5066,41808,12117.298124760811,0,968,69.14285714285714,165.38188179979224,46,110.02678913126674,11656.644880245982,1866.5940152657063,16.013132719080627,5.716651147998834,7313.3726228222395
Century Palms/Cove,south-la,2021-01-15,5062,33766,14991.411479002547,0,1007,71.92857142857143,213.02070552796135,29,85.88520997453058,8269.768070957694,1689.4744178894232,20.429525996292792,3.0235685596688646,11167.598595382267
Athens-Westmont,south-la,2021-01-15,5037,42442,11867.960982046086,0,1016,72.57142857142857,170.98965310642424,34,80.10932566797041,13526.239325125556,1885.7676594833003,13.941551780622483,4.636137142642221,9154.60407968249
Granada Hills,san-fernando-valley,2021-01-15,5004,58191,8599.267928030107,0,1023,73.07142857142857,125.57170107306726,90,154.66309223075734,17674.4660977163,934.694201412239,5.288387192261552,23.12015383939697,2516.8950174043375
Exposition Park,south-la,2021-01-15,4948,44917,11015.873722643988,0,964,68.85714285714286,153.29862381090203,31,69.0161854086426,11557.087681970765,1996.4145020583428,17.27437358784411,3.7079843000644135,12113.58958537654
Willowbrook,south-la,2021-01-15,4866,34913,13937.501790164122,0,874,62.42857142857143,178.81182203927315,30,85.92787786784292,8510.38663506913,1634.8219244577551,19.209725651253866,5.020957180496714,6953.455037540496
Gardena,south-bay,2021-01-15,4799,61310,7827.434350024466,0,948,67.71428571428571,110.44574411072534,71,115.80492578698417,20596.190952000357,1999.4632377411895,9.707927268692352,8.52071144946461,7195.4085481737975
Highland Park,northeast-la,2021-01-15,4697,48391,9706.350354404743,0,965,68.92857142857143,142.44089072052952,27,55.79549916306751,15375.859166769917,2432.7435879255086,15.82183838665171,4.433907632186133,10913.849365901398
Sherman Oaks,san-fernando-valley,2021-01-15,4355,87254,4991.175189676118,0,803,57.357142857142854,65.73583200442714,33,37.82061567378,40923.195969720924,889.8615213934712,2.1744673169023256,16.049932793922114,5436.409056681027
Maywood,southeast,2021-01-15,4253,28049,15162.750900210345,0,694,49.57142857142857,176.73153613828862,48,171.1290955114264,6330.465625007618,2181.0131460233847,34.45264969779787,1.7177438200800272,16328.977390058802
Koreatown,central-la,2021-01-15,4221,51693,8165.51564041553,0,924,66,127.67686147060529,40,77.3799160427911,19149.220073295204,5012.018271723278,26.1734851473813,2.129170183431458,24278.472619172906
Lincoln Heights,eastside,2021-01-15,4182,32597,12829.40147866368,0,791,56.5,173.32883394177378,64,196.33708623492961,9129.936641192226,1488.7687202223162,16.306451826897963,4.773364481457009,6828.935885082502
Lake Balboa,san-fernando-valley,2021-01-15,4175,42206,9891.958489314316,0,758,54.142857142857146,128.2823701437169,22,52.125290243093396,13210.332192071557,1790.7991390737998,13.556049257781597,5.587340081531707,7553.862729692604
Wilshire Center,central-la,2021-01-15,4168,50170,8307.753637632051,0,909,64.92857142857143,129.41712463338934,42,83.7153677496512,18717.309587146014,4817.018960729485,25.735637583499393,1.8853273028609807,26610.764042862542
Hacienda Heights,san-gabriel-valley,2021-01-15,4123,55926,7372.241891070343,0,780,55.714285714285715,99.62143853357243,29,51.854235954654364,15876.28845551634,736.2271320765919,4.63727485261698,17.725790204904552,3155.0638563084103
Hollywood,central-la,2021-01-15,4118,68254,6033.346031001846,0,726,51.857142857142854,75.97670884804239,23,33.697658745275,33351.71939175285,3077.3585883073342,9.226986327632325,6.489177782309274,10518.12761026109
Temple-Beaudry,central-la,2021-01-15,4069,39482,10305.962210627627,0,761,54.357142857142854,137.67575821169862,37,93.71359100349527,12426.677632190256,3141.6473388748927,25.28147451686299,2.0255497327974403,19491.992401229425
San Fernando,san-fernando-valley,2021-01-15,4066,24612,16520.396554526247,0,806,57.57142857142857,233.91609203408325,27,109.70258410531449,6583.230430139949,1098.1354606694233,16.680799378399985,3.482704293614649,7066.922117138908
Cudahy,southeast,2021-01-15,3879,24347,15932.14769786832,0,757,54.07142857142857,222.08661671429155,21,86.25292643857559,5776.185613249236,1650.0482402218404,28.56639918975268,1.7912915081729128,13591.86926801966
Glendora,san-gabriel-valley,2021-01-15,3789,53424,7092.318059299191,0,664,47.42857142857143,88.77764942454971,89,166.5917939502845,17467.463092260296,717.8058444857724,4.1093880702334324,29.568257220470663,1806.8024639278894
Harbor Gateway,harbor,2021-01-15,3752,43600,8605.504587155963,0,790,56.42857142857143,129.42332896461338,21,48.1651376146789,12442.508735809019,2387.163334819701,19.185546785669878,7.495387091909842,5816.911050139055
Monterey Park,san-gabriel-valley,2021-01-15,3719,62262,5973.1457389740135,0,718,51.285714285714285,82.37081090506936,72,115.64035848511132,20021.669390810937,2022.211973254993,10.10011669747728,11.298347286943423,5510.717489800575
Rosemead,san-gabriel-valley,2021-01-15,3694,55350,6673.893405600723,0,771,55.07142857142857,99.49670925280681,42,75.88075880758808,14120.829905113642,2718.5671171484532,19.252176645538135,7.558072995692791,7323.295240935483
Woodland Hills,san-fernando-valley,2021-01-15,3622,68055,5322.165895231798,0,746,53.285714285714285,78.29801526076598,36,52.89839100727353,26757.87014001223,859.1209243164153,3.21072237745759,21.6064702802268,3149.7509365183378
West Whittier/Los Nietos,southeast,2021-01-15,3526,26925,13095.636025998141,0,601,42.92857142857143,159.43759119246585,27,100.27855153203343,6360.206590782664,814.014539598815,12.798555015154708,3.785460393288045,7112.741173501749
Mission Hills,san-fernando-valley,2021-01-15,3422,24124,14185.043939645167,0,638,45.57142857142857,188.9049435061705,64,265.2959708174432,6355.108405080508,904.5316570069322,14.233142841179799,5.4539124002340875,4423.246695154945
Santa Monica,westside,2021-01-15,3419,92446,3698.375267723861,0,613,43.785714285714285,47.36355741266716,56,60.575903770850005,45487.891072523285,1433.395820750789,3.1511591040030082,12.421425132909267,7442.463244823171
La Mirada,southeast,2021-01-15,3322,49599,6697.715679751608,0,597,42.642857142857146,85.97523567583448,36,72.58210851025223,14386.419925004167,1241.542555916634,8.629961883420238,11.420962025274354,4342.804037894394
Castaic,northwest-county,2021-01-15,3211,27191,11809.054466551434,0,256,18.285714285714285,67.24914231074357,5,18.388437350593946,6607.794781624163,116.99343695460622,1.7705367799853162,450.30465151045314,60.38356456855033
Green Meadows,south-la,2021-01-15,3177,21505,14773.308532899326,0,658,47,218.55382469193214,16,74.4013020227854,5178.654682535547,1170.4446771355242,22.601326963983954,1.7872084603259089,12032.731758710692
West Adams,south-la,2021-01-15,3147,27630,11389.793702497285,0,561,40.07142857142857,145.02869551729486,52,188.20123054650742,9187.675723761131,1577.2643097008943,17.167174344451226,2.1368315982523227,12930.359146035698
South El Monte,san-gabriel-valley,2021-01-15,3077,22680,13567.019400352734,0,545,38.92857142857143,171.6427311665407,18,79.36507936507937,5186.745561868655,1248.685233184399,24.07454189317374,4.351604653589249,5211.870517992322
Valinda,san-gabriel-valley,2021-01-15,2990,23371,12793.633135081938,0,551,39.357142857142854,168.40162105662083,16,68.46091309742843,4394.807447141215,603.9552526394207,13.74247358737613,2.9620366679890275,7890.179163739703
Valley Glen,san-fernando-valley,2021-01-15,2951,30016,9831.423240938168,0,512,36.57142857142857,121.83978068839477,24,79.95735607675905,9874.185529124652,1160.694827389092,11.754841186298712,3.436334323586812,8734.889324933201
Eagle Rock,northeast-la,2021-01-15,2949,39589,7449.038874434817,0,612,43.714285714285715,110.42028269035772,31,78.30457955492687,12672.327318740561,1096.1112031188065,8.649644027879667,6.768072606377746,5849.37578280324
Downtown,central-la,2021-01-15,2918,27507,10608.2088195732,0,473,33.785714285714285,122.82587808817496,21,76.34420329370705,18343.426153142802,2539.0968444951486,13.841998889940863,3.0376158620774256,9055.45705874342
San Jose Hills,san-gabriel-valley,2021-01-15,2890,20221,14292.072597794373,0,523,37.357142857142854,184.7442898825125,22,108.79778448147964,4233.040694650428,800.6284158923653,18.913789723405497,2.2010361116546693,9187.036910902154
Hyde Park,south-la,2021-01-15,2851,28541,9989.138432430538,0,615,43.92857142857143,153.91391832301403,19,66.5708980063768,10265.520107272656,996.6807477637415,9.709013643231172,2.976450069326434,9588.93962110333
Rowland Heights,san-gabriel-valley,2021-01-15,2847,51022,5579.945905687742,0,573,40.92857142857143,80.21749721408692,24,47.03853239778919,14351.746110845528,1536.4908009021478,10.705950265807942,27.613292480083384,1847.7332986206043
Chatsworth,san-fernando-valley,2021-01-15,2815,37061,7595.585656080515,0,558,39.857142857142854,107.54470429060969,39,105.2319149510267,13219.60072904763,466.0262364489353,3.525267109050645,15.430815957661002,2401.752447938449
Lennox,south-bay,2021-01-15,2771,22542,12292.60935143288,0,635,45.357142857142854,201.2117064020178,8,35.48930884571023,4639.593975849525,1398.0906048026304,30.133899907623608,1.5957440164046643,14126.325882010125
Monrovia,san-gabriel-valley,2021-01-15,2762,42681,6471.263559897847,0,529,37.785714285714285,88.53052713318405,42,98.40444225767905,14554.883904859047,722.3771764819206,4.9631256504956385,20.682756712089628,2063.6030580513384
Glassell Park,northeast-la,2021-01-15,2716,31604,8593.848879888621,0,617,44.07142857142857,139.4488943533368,17,53.790659410201236,10215.326202247154,1382.7384340271494,13.535920504652868,4.446560841788319,7107.51547645292
University Park,south-la,2021-01-15,2666,27456,9710.081585081585,0,345,24.642857142857142,89.753996003996,27,98.33916083916085,6639.724492431094,1596.7837610716317,24.048946050274733,1.9911823416781838,13788.792430159798
Lawndale,south-bay,2021-01-15,2641,33614,7856.845362051526,0,553,39.5,117.51056107574226,16,47.59921461295888,9763.528160482847,1573.996794294074,16.12118865662424,2.8629123553614555,11741.190727355006
East Hollywood,central-la,2021-01-15,2538,29287,8665.961006589954,0,518,37,126.33591695974324,49,167.3097278656059,10006.879387092322,2662.142374706522,26.603122429359622,1.6110795651867338,18178.49387010595
Encino,san-fernando-valley,2021-01-15,2537,45172,5616.310989108298,0,422,30.142857142857142,66.72907363600713,25,55.344018418489334,18925.454221440006,544.8693262982234,2.8790290574952726,20.709826388560284,2181.1868024616642
Altadena,verdugos,2021-01-15,2533,43620,5806.969280146722,0,453,32.357142857142854,74.17960306543524,25,57.31315910132966,14945.632713596684,706.2766269638041,4.725638857171125,12.831717664542253,3399.3890093556743
Arcadia,san-gabriel-valley,2021-01-15,2517,65735,3829.0104206282804,0,513,36.642857142857146,55.743298308142,48,73.02046094165969,21885.512223370468,895.8702670403469,4.093439796596083,17.584001066030694,3738.34144761222
Duarte,san-gabriel-valley,2021-01-15,2507,26444,9480.41143548631,0,468,33.42857142857143,126.41268880869546,46,173.95250340341855,7929.039738982706,631.8737928498041,7.9691086644859395,10.311082220798017,2564.6192546754214
Silverlake,central-la,2021-01-15,2502,44083,5675.657282852801,0,470,33.57142857142857,76.15504519072788,37,83.93258172084478,18438.47034738318,1284.5880601774618,6.9668906149786585,5.562988318034953,7924.3380499442965
Tarzana,san-fernando-valley,2021-01-15,2495,30876,8080.709936520275,0,457,32.642857142857146,105.72242888605113,42,136.0279828993393,11374.839339731267,647.3199208459861,5.6908049556793054,9.404658421301376,3283.0538459606823
Diamond Bar,san-gabriel-valley,2021-01-15,2473,57515,4299.747891854299,0,507,36.214285714285715,62.964940822890924,17,29.557506737372858,14526.098352567195,466.35679806434854,3.210475288995475,21.70855365782672,2649.416488383313
Walnut Park,southeast,2021-01-15,2471,16143,15306.944186334635,0,502,35.857142857142854,222.12192812452986,21,130.08734435978442,3745.240442564817,985.253304056448,26.306810448242583,1.0909704239703513,14796.918088073404
San Gabriel,san-gabriel-valley,2021-01-15,2463,40954,6014.0645602383165,0,509,36.357142857142854,88.77556003599858,107,261.26874053816476,12299.337299443248,1190.469915891776,9.679138695917095,6.041566654251225,6778.705316638723
San Dimas,san-gabriel-valley,2021-01-15,2398,34516,6947.502607486384,0,478,34.142857142857146,98.91892786782115,22,63.73855603198517,11240.775639192636,294.3468690798454,2.6185636874875544,22.53944190208643,1531.360011039356
Mt. Washington,northeast-la,2021-01-15,2332,24145,9658.314350797265,0,493,35.214285714285715,145.8450433393486,22,91.11617312072893,7377.459168437473,1058.0712269837845,14.341946228729604,3.4511761632155613,6996.165613726133
Cerritos,southeast,2021-01-15,2313,50654,4566.273147234177,0,501,35.785714285714285,70.6473610883924,19,37.50937734433609,15519.944088637145,844.5449697224218,5.441675336580314,12.91564860273335,3921.9091164558354
Vermont Knolls,south-la,2021-01-15,2305,17200,13401.162790697674,0,411,29.357142857142858,170.6810631229236,21,122.09302325581395,5495.385538323865,489.76820735904926,8.912353900258513,1.551456617178604,11086.355757261843
La Verne,pomona-valley,2021-01-15,2302,35322,6517.1847573750065,0,444,31.714285714285715,89.78621174986047,19,53.79083857086235,12182.964443409432,345.0325573204877,2.83209032516826,16.925883667905122,2086.862978207608
West Hills,san-fernando-valley,2021-01-15,2270,40545,5598.717474411148,0,440,31.428571428571427,77.51528284269683,52,128.2525588851893,12617.466313570309,255.72413239130856,2.0267470983161866,14.656161685652863,2766.4132580967707
East Rancho Dominguez,southeast,2021-01-15,2244,15308,14659.001829108962,0,399,28.5,186.17716226809512,22,143.71570420695062,2692.8032838126783,762.4698998781786,28.315098412930297,1.2015073499404765,12740.662802236182
Santa Fe Springs,southeast,2021-01-15,2207,18364,12018.078849923764,0,418,29.857142857142858,162.5851821887544,13,70.79067741232846,6312.812921917157,873.9915326332917,13.844724110212766,12.926874613510227,1420.6063374984149
Baldwin Hills,south-la,2021-01-15,2140,31125,6875.502008032129,0,415,29.642857142857142,95.23809523809524,30,96.38554216867469,12670.932737049032,1144.075715682441,9.02913573471378,3.789198689531578,8214.137750545799
Bassett,san-gabriel-valley,2021-01-15,2116,14817,14280.893568198691,0,384,27.428571428571427,185.1155525988488,10,67.4900452183303,2512.0874348497578,454.39996811354007,18.08854109971362,1.8023680622247829,8220.851395752314
Little Bangladesh,central-la,2021-01-15,2104,28343,7423.349680697173,0,505,36.07142857142857,127.26750369201768,9,31.753872208305403,11522.847567236699,2588.9513382995856,22.467982182293536,0.7326020392383158,38688.125997394345
Tujunga,verdugos,2021-01-15,2081,27810,7482.9198130169,0,441,31.5,113.26860841423948,21,75.51240560949299,9688.548468379884,665.8384235032664,6.87242702739565,8.097280434040766,3434.486458328336
Commerce,southeast,2021-01-15,2062,13069,15777.794781544113,0,352,25.142857142857142,192.38547052457832,15,114.77542275614049,3400.0453378098073,508.5188858398809,14.956238382616727,9.559206699965657,1367.1636580519755
Harvard Heights,central-la,2021-01-15,2036,18035,11289.159966731357,0,424,30.285714285714285,167.92744267099687,33,182.97754366509565,5176.541571910557,1597.1125642942102,30.852887823032553,1.09455540524468,16477.009673136105
Palms,westside,2021-01-15,2001,43877,4560.475875743556,0,536,38.285714285714285,87.25690973793624,32,72.93114843767805,19676.014907329765,1593.7636530946772,8.100032758670881,2.673523622462723,16411.674702010896
