csa.hood.name,mapla.region.slug,date,cases,population,rate.cases,new.cases,new.cases.14day,new.cases.14dayavg,rate.new.cases.14dayavg,deaths,rate.deaths
Vermont Knolls,south-la,2020-12-21,1540,17200,8953.488372093023,30,453,32.357142857142854,188.12292358803984,21,122.09302325581395
Arcadia,san-gabriel-valley,2020-12-21,1537,65735,2338.1760097360616,15,426,30.428571428571427,46.28975648980212,48,73.02046094165969
San Dimas,san-gabriel-valley,2020-12-21,1526,34516,4421.13802294588,29,412,29.428571428571427,85.26066586096717,22,63.73855603198517
La Verne,pomona-valley,2020-12-21,1484,35322,4201.347602061038,16,455,32.5,92.0106449238435,19,53.79083857086235
West Hills,san-fernando-valley,2020-12-21,1449,40545,3573.8068812430633,32,405,28.928571428571427,71.34929443475502,52,128.2525588851893
East Rancho Dominguez,southeast,2020-12-21,1439,15308,9400.313561536452,34,425,30.357142857142858,198.3090074284221,22,143.71570420695062
Santa Fe Springs,southeast,2020-12-21,1416,18364,7710.738401219777,24,428,30.571428571428573,166.47477984877247,13,70.79067741232846
Mt. Washington,northeast-la,2020-12-21,1415,24145,5860.426589355974,42,464,33.142857142857146,137.2659231429163,22,91.11617312072893
Baldwin Hills,south-la,2020-12-21,1394,31125,4478.714859437751,38,408,29.142857142857142,93.63166953528399,30,96.38554216867469
Commerce,southeast,2020-12-21,1387,13069,10612.900757517791,32,376,26.857142857142858,205.50266169670869,15,114.77542275614049
Cerritos,southeast,2020-12-21,1384,50654,2732.262012871639,29,396,28.285714285714285,55.841027926154474,19,37.50937734433609
Bassett,san-gabriel-valley,2020-12-21,1378,14817,9300.128231085915,26,355,25.357142857142858,171.13547180362323,10,67.4900452183303
Beverly Hills,westside,2020-12-21,1375,34520,3983.1981460023176,14,263,18.785714285714285,54.41979804668101,14,40.55619930475087
Redondo Beach,south-bay,2020-12-21,1328,68697,1933.1266285281745,13,288,20.571428571428573,29.945162920402016,14,20.379346987495815
Tujunga,verdugos,2020-12-21,1292,27810,4645.810859403093,29,301,21.5,77.31032002876663,21,75.51240560949299
Lakeview Terrace,san-fernando-valley,2020-12-21,1251,13133,9525.622477727862,41,326,23.285714285714285,177.3068932133883,29,220.8177872534836
West Hollywood,central-la,2020-12-21,1250,36951,3382.858380016779,13,244,17.428571428571427,47.166711127091084,10,27.062867040134233
Harvard Heights,central-la,2020-12-21,1248,18035,6919.87801497089,26,406,29,160.79844746326586,33,182.97754366509565
Little Bangladesh,central-la,2020-12-21,1225,28343,4322.05482835268,23,360,25.714285714285715,90.72534916658687,9,31.753872208305403
Temple City,san-gabriel-valley,2020-12-21,1217,36455,3338.3623645590455,11,336,24,65.83459059113976,63,172.8158003017419
Palms,westside,2020-12-21,1195,43877,2723.52257446954,21,299,21.357142857142858,48.67502987246817,32,72.93114843767805
Hawaiian Gardens,harbor,2020-12-21,1189,14676,8101.662578359225,39,342,24.428571428571427,166.45251722929564,3,20.44153720359771
West Los Angeles,westside,2020-12-21,1186,37636,3151.238176214263,16,307,21.928571428571427,58.264883166573036,20,53.14061005420342
Porter Ranch,san-fernando-valley,2020-12-21,1180,35588,3315.724401483646,29,378,27,75.86827020343937,7,19.66955153422502
Westwood,westside,2020-12-21,1180,54109,2180.783233842799,14,289,20.642857142857142,38.15050572521603,8,14.78497107690033
Harbor City,harbor,2020-12-21,1173,29070,4035.0877192982457,21,340,24.285714285714285,83.5421888053467,12,41.279669762641895
Claremont,pomona-valley,2020-12-21,1167,37186,3138.2778465013716,18,330,23.571428571428573,63.3879109649561,19,51.09449792932825
Sunland,san-fernando-valley,2020-12-21,1134,20408,5556.644453155625,30,287,20.5,100.45080360642886,31,151.90121520972167
Del Rey,westside,2020-12-21,1082,30254,3576.3865935082963,16,331,23.642857142857142,78.14787182804635,9,29.748132478349973
Westchester,south-bay,2020-12-21,1080,51603,2092.9015754897973,18,264,18.857142857142858,36.54272592125042,21,40.695308412301614
Valley Village,san-fernando-valley,2020-12-21,1069,24720,4324.433656957929,15,281,20.071428571428573,81.1950993989829,32,129.44983818770226
Culver City,westside,2020-12-21,1042,39865,2613.82164806221,22,316,22.571428571428573,56.619662790489336,38,95.32171077386178
Historic Filipinotown,central-la,2020-12-21,1041,13870,7505.407354001442,17,317,22.642857142857142,163.25059223400967,22,158.61571737563085
West Carson,harbor,2020-12-21,971,22086,4396.450239971023,21,250,17.857142857142858,80.8527703393229,55,249.02653264511454
Artesia,southeast,2020-12-21,958,16795,5704.078594819887,24,274,19.571428571428573,116.53128056819634,22,130.9913664781185
West Puente Valley,san-gabriel-valley,2020-12-21,948,9835,9639.04422979156,19,296,21.142857142857142,214.9756699832958,5,50.838840874428065
Mar Vista,westside,2020-12-21,915,42471,2154.411245320336,19,282,20.142857142857142,47.427320154592884,8,18.83638247274611
Northeast San Gabriel,san-gabriel-valley,2020-12-21,867,24036,3607.089365951073,18,228,16.285714285714285,67.75550959275373,22,91.52937260775504
Venice,westside,2020-12-21,844,33885,2490.7776302198613,14,235,16.785714285714285,49.53730053331647,6,17.706949977866312
Walnut,san-gabriel-valley,2020-12-21,843,30532,2761.037599895192,15,240,17.142857142857142,56.14718047575378,7,22.92676536093279
Alsace,south-la,2020-12-21,822,12445,6605.062274005624,15,233,16.642857142857142,133.73127475176491,4,32.14142225793491
Hollywood Hills,central-la,2020-12-21,813,29434,2762.1118434463547,9,181,12.928571428571429,43.92393636125375,8,27.179452334035467
Lake Los Angeles,antelope-valley,2020-12-21,797,12994,6133.600123133754,18,272,19.428571428571427,149.51955847753908,4,30.783438510081577
Country Club Park,central-la,2020-12-21,794,15153,5239.88649112387,13,209,14.928571428571429,98.51891657474711,37,244.176070745067
Cloverdale/Cochran,central-la,2020-12-21,793,14553,5449.048306191164,20,248,17.714285714285715,121.72257070216254,8,54.97148354291212
Leimert Park,south-la,2020-12-21,785,15235,5152.609123728257,23,235,16.785714285714285,110.17863003422569,10,65.63833278634722
Covina (Charter Oak),san-gabriel-valley,2020-12-21,783,13144,5957.090687766281,7,225,16.071428571428573,122.27197634988264,4,30.432136335970785
Crenshaw District,south-la,2020-12-21,767,13829,5546.315713355992,22,245,17.5,126.54566490707933,4,28.924723407332415
Brentwood,westside,2020-12-21,761,30955,2458.407365530609,13,182,13,41.99644645453077,5,16.152479405588757
Vermont Square,south-la,2020-12-21,757,7657,9886.378477210395,15,221,15.785714285714286,206.16056269706527,6,78.35967088938227
Figueroa Park Square,south-la,2020-12-21,752,8721,8622.86435041853,13,237,16.928571428571427,194.1127328124232,7,80.26602453847036
Studio City,san-fernando-valley,2020-12-21,700,22440,3119.4295900178254,7,224,16,71.301247771836,14,62.38859180035651
Manhattan Beach,south-bay,2020-12-21,691,35999,1919.4977638267728,6,107,7.642857142857143,21.230748473171875,4,11.111419761660047
Echo Park,central-la,2020-12-21,679,14256,4762.906846240179,15,202,14.428571428571429,101.21051787718456,8,56.116722783389456
South Pasadena,san-gabriel-valley,2020-12-21,669,26053,2567.8424749549,16,186,13.285714285714286,50.99494985496598,28,107.47322765132614
Atwater Village,northeast-la,2020-12-21,651,14666,4438.838129005864,22,195,13.928571428571429,94.97184936977655,8,54.547933996999866
Rancho Palos Verdes,south-bay,2020-12-21,648,42747,1515.8958523405151,10,166,11.857142857142858,27.737953206407138,16,37.42952721828432
Gramercy Place,south-la,2020-12-21,630,10764,5852.842809364549,7,204,14.571428571428571,135.37187450230928,7,65.0315867707172
Little Armenia,central-la,2020-12-21,625,8025,7788.1619937694695,6,122,8.714285714285714,108.58923008455717,55,685.3582554517134
Athens Village,south-la,2020-12-21,623,4897,12722.074739636513,44,210,15,306.309985705534,15,306.309985705534
Elysian Valley,central-la,2020-12-21,622,10171,6115.426211778586,7,192,13.714285714285714,134.83714201441072,8,78.65499950840626
Jefferson Park,south-la,2020-12-21,615,8073,7617.985878855445,9,169,12.071428571428571,149.52841039797562,1,12.38696890870804
Adams-Normandie,south-la,2020-12-21,610,8202,7437.210436478908,9,162,11.571428571428571,141.08057268262098,5,60.960741282614
Mid-city,central-la,2020-12-21,603,15030,4011.9760479041915,9,157,11.214285714285714,74.61267940309855,22,146.37391882900866
Calabasas,santa-monica-mountains,2020-12-21,600,24323,2466.8009702750483,11,126,9,37.00201455412572,13,53.447354355959376
Avocado Heights,san-gabriel-valley,2020-12-21,598,6775,8826.568265682656,15,155,11.071428571428571,163.41591987348443,4,59.04059040590406
Signal Hill,harbor,2020-12-21,590,11797,5001.271509705857,10,156,11.142857142857142,94.455006720837,4,33.90692548953124
Quartz Hill,antelope-valley,2020-12-21,589,12906,4563.768789710212,12,183,13.071428571428571,101.2817958424653,14,108.47667751433443
Lomita,south-bay,2020-12-21,577,20729,2783.539968160548,17,199,14.214285714285714,68.5719799039303,9,43.41743451203628
North Whittier,san-gabriel-valley,2020-12-21,550,8360,6578.9473684210525,10,159,11.357142857142858,135.850991114149,12,143.54066985645932
Los Feliz,central-la,2020-12-21,536,21608,2480.5627545353573,12,128,9.142857142857142,42.31237107949436,4,18.511662347278786
Victoria Park,central-la,2020-12-21,536,8399,6381.7121085843555,14,165,11.785714285714286,140.32282754749716,4,47.62471722824146
Carthay,central-la,2020-12-21,529,14363,3683.0745665947225,2,130,9.285714285714286,64.65024218975344,23,160.1336768084662
Hancock Park,central-la,2020-12-21,514,17039,3016.6089559246434,5,123,8.785714285714286,51.56238209821167,4,23.475556077234582
Hermosa Beach,south-bay,2020-12-21,512,19670,2602.9486527707168,6,111,7.928571428571429,40.30793812186796,4,20.335536349771225
Stevenson Ranch,northwest-county,2020-12-21,501,20966,2389.5831345988745,17,144,10.285714285714286,49.05902072743627,5,23.84813507583707
La Crescenta-Montrose,verdugos,2020-12-21,487,19801,2459.4717438513208,8,119,8.5,42.92712489268219,3,15.150749962123124
Crestview,westside,2020-12-21,484,11368,4257.565095003519,4,155,11.071428571428571,97.39117321805568,25,219.91555242786768
Agoura Hills,santa-monica-mountains,2020-12-21,478,20883,2288.9431595077335,2,134,9.571428571428571,45.83358986461989,8,38.30867212565244
South San Gabriel,san-gabriel-valley,2020-12-21,467,8848,5278.028933092224,8,118,8.428571428571429,95.25962283647637,25,282.5497287522604
Sun Village,antelope-valley,2020-12-21,466,6036,7720.344599072233,11,155,11.071428571428571,183.42326990438323,5,82.83631544068919
Miracle Mile,central-la,2020-12-21,458,17985,2546.566583263831,8,124,8.857142857142858,49.24738869692999,6,33.36113427856547
Manchester Square,south-la,2020-12-21,456,8536,5342.080599812559,14,120,8.571428571428571,100.41504886865711,6,70.29053420805998
Thai Town,central-la,2020-12-21,429,9809,4373.534509124273,8,114,8.142857142857142,83.01414153182937,4,40.77887654195127
Beverlywood,westside,2020-12-21,422,13173,3203.5223563349273,8,139,9.928571428571429,75.37061738838099,0,0
Canyon Country,northwest-county,2020-12-21,407,7728,5266.56314699793,5,112,8,103.51966873706004,2,25.87991718426501
La Canada Flintridge,verdugos,2020-12-21,382,20693,1846.0348910259509,4,86,6.142857142857143,29.685677006026882,6,28.995312424491374
Chinatown,central-la,2020-12-21,381,8021,4750.031168183518,7,103,7.357142857142857,91.72351149660712,3,37.40182022191747
El Camino Village,south-bay,2020-12-21,379,8791,4311.227391650552,8,121,8.642857142857142,98.3148349773307,5,56.87635081333182
Cadillac-Corning,central-la,2020-12-21,357,7121,5013.34082291813,6,123,8.785714285714286,123.37753525788915,2,28.08594298553574
Pacific Palisades,westside,2020-12-21,357,21291,1676.7648302099476,3,95,6.785714285714286,31.871280286103453,4,18.78728101075572
View Park/Windsor Hills,south-la,2020-12-21,355,11635,3051.1388053287496,3,92,6.571428571428571,56.47983301614587,6,51.56854318865492
South Carthay,central-la,2020-12-21,343,10595,3237.376120811704,7,111,7.928571428571429,74.8331423178049,2,18.876828692779615
Beverly Crest,westside,2020-12-21,331,12525,2642.7145708582834,2,90,6.428571428571429,51.32591958939265,2,15.96806387225549
Reseda Ranch,san-fernando-valley,2020-12-21,322,4636,6945.642795513374,3,92,6.571428571428571,141.74781215333417,1,21.570319240724764
St Elmo Village,central-la,2020-12-21,321,4584,7002.61780104712,9,84,6,130.89005235602096,11,239.9650959860384
El Segundo,south-bay,2020-12-21,314,16786,1870.606457762421,3,86,6.142857142857143,36.595121785161105,1,5.957345406886692
Century City,westside,2020-12-21,298,12792,2329.5809881175733,3,69,4.928571428571429,38.5285446261056,2,15.634771732332707
Longwood,central-la,2020-12-21,293,4304,6807.6208178438665,7,91,6.5,151.02230483271376,2,46.468401486988846
Park La Brea,central-la,2020-12-21,289,13580,2128.1296023564064,5,72,5.142857142857143,37.87081843046497,1,7.363770250368188
Playa Vista,westside,2020-12-21,289,10947,2639.992692061752,4,69,4.928571428571429,45.022119563089696,0,0
Wellington Square,central-la,2020-12-21,289,4915,5879.959308240082,9,80,5.714285714285714,116.26217119604708,3,61.03763987792472
Lafayette Square,central-la,2020-12-21,276,4559,6053.959201579294,7,89,6.357142857142857,139.4416068686742,3,65.80390436499232
Elysian Park,central-la,2020-12-21,273,5712,4779.411764705882,5,86,6.142857142857143,107.54301720688275,0,0
