csa.hood.name,mapla.region.slug,top.region.pct.csa,population
East La Mirada,san-gabriel-valley,0.9989818618349385,5292
Playa Vista,westside,0.998973206596471,10947
San Dimas,san-gabriel-valley,0.9988727543858598,34516
Vernon,southeast,0.9988707550093348,209
Angelino Heights,central-la,0.9988698963876261,2502
West Chatsworth,san-fernando-valley,0.9988626481769716,0
Covina (Charter Oak),san-gabriel-valley,0.998849915931828,13144
Glassell Park,northeast-la,0.9988209648106967,31604
University Hills,eastside,0.9988204565233127,3429
West Los Angeles,westside,0.9987959601640948,37636
Wilmington,harbor,0.9987568981436552,56487
Sylmar,san-fernando-valley,0.998698682327339,82398
Eagle Rock,northeast-la,0.9986704271205828,39589
Stevenson Ranch,northwest-county,0.998665487455653,20966
Florence-Firestone,south-la,0.9986585885707201,112150
Del Sur,antelope-valley,0.9986383838776087,2415
El Segundo,south-bay,0.9986143522235412,16786
South Whittier,southeast,0.9986078410831846,59222
Westchester,south-bay,0.9986037796983999,51603
Walnut Park,southeast,0.9986013560246835,16143
Bellflower,southeast,0.998594394845313,77735
Highland Park,northeast-la,0.998437450531022,48391
Rowland Heights,san-gabriel-valley,0.9983674765311327,51022
Montebello,southeast,0.9983290729851866,64375
East Whittier,san-gabriel-valley,0.9982842007236792,5306
Rancho Palos Verdes,south-bay,0.9982831132686493,42747
Athens Village,south-la,0.99828166681402275,4897
South Pasadena,san-gabriel-valley,0.9982713871762218,26053
Alhambra,san-gabriel-valley,0.9982406036762709,86724
Avalon,harbor,0.9982140070318642,3723
Compton,southeast,0.998197812308044,99904
View Heights,south-la,0.9981704712724404,3694
Adams-Normandie,south-la,0.9981702906695555,8202
Burbank,san-fernando-valley,0.9980907728118283,107180
Pasadena,verdugos,0.9980743364954856,138101
Leimert Park,south-la,0.9980357749676152,15235
Rosewood/East Gardena,southeast,0.9979523479509735,1193
Cadillac-Corning,central-la,0.9979504601712977,7121
Palos Verdes Estates,south-bay,0.9979199529591517,13522
La Mirada,southeast,0.9978593058202176,49599
Glendale,verdugos,0.9978252425675281,206493
Lomita,south-bay,0.9977973476609747,20729
Faircrest Heights,central-la,0.9977963033825442,3600
East Los Angeles,eastside,0.9977870285169191,125269
Santa Catalina Island,harbor,0.9976611597615141,267
Monterey Park,san-gabriel-valley,0.9974840312137565,62262
Harbor City,harbor,0.9974479700960205,29070
Desert View Highlands,antelope-valley,0.9974135659285424,2493
Elysian Park,central-la,0.9973064461109309,5712
