csa.hood.name,mapla.region.slug,date,confirmed.cases,population,case.rate.100k,days.since.50.cases,days.since.100.cases.per.100k
Montebello,southeast,2020-05-27,0,64375,0,45,41
Monterey Park,san-gabriel-valley,2020-05-27,0,62262,0,35,32
Mt. Washington,northeast-la,2020-05-27,0,24145,0,26,36
Newhall,northwest-county,2020-05-27,0,0,NaN,,4
North Hills,san-fernando-valley,2020-05-27,0,61575,0,43,39
North Hollywood,san-fernando-valley,2020-05-27,0,151421,0,55,40
North Lancaster,antelope-valley,2020-05-27,0,1198,0,,28
North Whittier,san-gabriel-valley,2020-05-27,0,8360,0,,9
Northeast San Gabriel,san-gabriel-valley,2020-05-27,0,24036,0,,11
Northridge,san-fernando-valley,2020-05-27,0,69797,0,43,39
Norwalk,southeast,2020-05-27,0,107622,0,51,37
Pacific Palisades,westside,2020-05-27,0,21291,0,1,57
Pacoima,san-fernando-valley,2020-05-27,0,76979,0,46,39
Padua Hills,pomona-valley,2020-04-07,0,0,NaN,,
Palisades Highlands,westside,2020-05-27,0,3846,0,,
Palmdale,antelope-valley,2020-05-27,0,159810,0,50,37
Palms,westside,2020-05-27,0,43877,0,49,51
Palos Verdes Estates,south-bay,2020-05-27,0,13522,0,,60
Palos Verdes Peninsula,south-bay,2020-05-27,0,621,0,,
Panorama City,san-fernando-valley,2020-05-27,0,75250,0,49,42
Paramount,southeast,2020-05-27,0,56023,0,40,39
Park La Brea,central-la,2020-05-27,0,13580,0,,13
Pasadena,verdugos,2020-05-27,0,138101,0,54,44
Pearblossom/Llano,antelope-valley,2020-05-27,0,1956,0,,32
Pellissier Village,san-gabriel-valley,2020-05-27,0,619,0,,1
Pico Rivera,southeast,2020-05-27,0,64284,0,47,42
Pico-Union,central-la,2020-05-27,0,41842,0,44,47
Placerita Canyon,angeles-forest,2020-05-27,0,460,0,,
Playa Del Rey,south-bay,2020-05-27,0,3196,0,,
Playa Vista,westside,2020-05-27,0,10947,0,,41
Pomona,pomona-valley,2020-05-27,0,157869,0,43,28
Porter Ranch,san-fernando-valley,2020-05-27,0,35588,0,31,38
Quartz Hill,antelope-valley,2020-05-27,0,12906,0,,42
Rancho Dominguez,harbor,2020-05-27,0,2661,0,,47
Rancho Palos Verdes,south-bay,2020-05-27,0,42747,0,36,43
Rancho Park,westside,2020-05-27,0,6560,0,,52
Redondo Beach,south-bay,2020-05-27,0,68697,0,56,49
Regent Square,central-la,2020-05-27,0,2780,0,,26
Reseda,san-fernando-valley,2020-05-27,0,76617,0,49,43
Reseda Ranch,san-fernando-valley,2020-05-27,0,4636,0,,49
Reynier Village,central-la,2020-05-27,0,4228,0,,49
Rolling Hills,south-bay,2020-05-27,0,1940,0,,26
Rolling Hills Estates,south-bay,2020-05-27,0,8113,0,,47
Roosevelt,antelope-valley,2020-05-27,0,931,0,,4
Rosemead,san-gabriel-valley,2020-05-27,0,55350,0,19,15
Rosewood,southeast,2020-05-27,0,1286,0,,32
Rosewood/East Gardena,southeast,2020-05-27,0,1193,0,,
Rosewood/West Rancho Dominguez,southeast,2020-05-27,0,3361,0,,34
Rowland Heights,san-gabriel-valley,2020-05-27,0,51022,0,26,26
San Clemente Island,,2020-05-27,0,0,NaN,,
San Dimas,san-gabriel-valley,2020-05-27,0,34516,0,,16
San Fernando,san-fernando-valley,2020-05-27,0,24612,0,35,43
San Francisquito Canyon/Bouquet Canyon,northwest-county,2020-05-27,0,0,NaN,,
San Gabriel,san-gabriel-valley,2020-05-27,0,40954,0,16,20
San Jose Hills,san-gabriel-valley,2020-05-27,0,20221,0,4,26
San Marino,san-gabriel-valley,2020-05-27,0,13277,0,,18
San Pasqual,san-gabriel-valley,2020-05-27,0,2035,0,,
San Pedro,harbor,2020-05-27,0,78038,0,44,37
San Pedro*,,2020-05-25,843,,,0,
Sand Canyon,angeles-forest,2020-05-27,0,0,NaN,,
Santa Catalina Island,harbor,2020-05-27,0,267,0,,32
Santa Clarita,northwest-county,2020-05-27,0,220424,0,56,37
Santa Fe Springs,southeast,2020-05-27,0,18364,0,3,26
Santa Monica,westside,2020-05-27,0,92446,0,56,43
Santa Monica Mountains,santa-monica-mountains,2020-05-27,0,18621,0,,21
Saugus,northwest-county,2020-05-27,0,155,0,,32
Saugus/Canyon Country,northwest-county,2020-05-27,0,356,0,,
Shadow Hills,san-fernando-valley,2020-05-27,0,4442,0,,55
Sherman Oaks,san-fernando-valley,2020-05-27,0,87254,0,53,39
Sierra Madre,san-gabriel-valley,2020-05-27,0,10989,0,,
Signal Hill,harbor,2020-05-27,0,11797,0,,15
Silverlake,central-la,2020-05-27,0,44083,0,52,53
South Antelope Valley,antelope-valley,2020-05-27,0,455,0,,5
South Carthay,central-la,2020-05-27,0,10595,0,,55
South Edwards,antelope-valley,2020-05-08,0,0,NaN,,
South El Monte,san-gabriel-valley,2020-05-27,0,22680,0,13,30
South Gate,southeast,2020-05-27,0,98155,0,52,43
South Park,south-la,2020-05-27,0,37961,0,39,46
South Pasadena,san-gabriel-valley,2020-05-27,0,26053,0,34,38
South San Gabriel,san-gabriel-valley,2020-05-27,0,8848,0,,28
South Whittier,southeast,2020-05-27,0,59222,0,35,31
Southeast Antelope Valley,antelope-valley,2020-05-27,0,781,0,,
St Elmo Village,central-la,2020-05-27,0,4584,0,,37
Stevenson Ranch,northwest-county,2020-05-27,0,20966,0,,19
Studio City,san-fernando-valley,2020-05-27,0,22440,0,23,39
Sun Valley,san-fernando-valley,2020-05-27,0,52483,0,39,39
Sun Village,antelope-valley,2020-05-27,0,6036,0,,22
Sunland,san-fernando-valley,2020-05-27,0,20408,0,35,49
Sunrise Village,san-gabriel-valley,2020-05-27,0,1296,0,,14
Sycamore Square,central-la,2020-05-27,0,647,0,,26
Sylmar,san-fernando-valley,2020-05-27,0,82398,0,53,49
Sylmar*,,2020-05-25,727,,,0,
Tarzana,san-fernando-valley,2020-05-27,0,30876,0,41,53
Temple City,san-gabriel-valley,2020-05-27,0,36455,0,26,34
Temple-Beaudry,central-la,2020-05-27,0,39482,0,46,47
Thai Town,central-la,2020-05-27,0,9809,0,,46
Toluca Lake,san-fernando-valley,2020-05-27,0,8704,0,,36
Toluca Terrace,san-fernando-valley,2020-05-27,0,1306,0,,30
Toluca Woods,san-fernando-valley,2020-05-27,0,1858,0,,32
Torrance,south-bay,2020-05-27,0,149268,0,57,43
Tujunga,verdugos,2020-05-27,0,27810,0,33,37
Twin Lakes/Oat Mountain,northwest-county,2020-05-27,0,1658,0,,32
Universal City,san-fernando-valley,2020-05-08,0,0,NaN,,
University Hills,eastside,2020-05-27,0,3429,0,,32
University Park,south-la,2020-05-27,0,27456,0,34,42
Val Verde,northwest-county,2020-05-27,0,3309,0,24,32
Valencia,northwest-county,2020-05-27,0,3072,0,,32
Valinda,san-gabriel-valley,2020-05-27,0,23371,0,9,33
Valley Glen,san-fernando-valley,2020-05-27,0,30016,0,36,47
Valley Village,san-fernando-valley,2020-05-27,0,24720,0,37,54
Van Nuys,san-fernando-valley,2020-05-27,0,93194,0,50,42
Venice,westside,2020-05-27,0,33885,0,24,47
Vermont Knolls,south-la,2020-05-27,0,17200,0,30,43
Vermont Square,south-la,2020-05-27,0,7657,0,25,50
Vermont Vista,south-la,2020-05-27,0,41186,0,36,37
Vernon,southeast,2020-05-27,0,209,0,,26
Vernon Central,south-la,2020-05-27,0,51998,0,40,39
Victoria Park,central-la,2020-05-27,0,8399,0,6,53
View Heights,south-la,2020-05-27,0,3694,0,,43
View Park/Windsor Hills,south-la,2020-05-27,0,11635,0,,52
Walnut,san-gabriel-valley,2020-05-27,0,30532,0,,11
Walnut Park,southeast,2020-05-27,0,16143,0,22,47
Watts,south-la,2020-05-27,0,42674,0,37,37
Wellington Square,central-la,2020-05-27,0,4915,0,,39
West Adams,south-la,2020-05-27,0,27630,0,43,49
West Antelope Valley,antelope-valley,2020-05-27,0,1511,0,,32
West Carson,harbor,2020-05-27,0,22086,0,33,49
West Chatsworth,san-fernando-valley,2020-05-27,0,0,NaN,,
West Covina,san-gabriel-valley,2020-05-27,0,108235,0,41,30
West Hills,san-fernando-valley,2020-05-27,0,40545,0,26,34
West Hollywood,central-la,2020-05-27,0,36951,0,60,61
West LA,westside,2020-05-27,0,952,0,,54
West Los Angeles,westside,2020-05-27,0,37636,0,33,40
West Puente Valley,san-gabriel-valley,2020-05-27,0,9835,0,,32
West Rancho Dominguez,southeast,2020-05-27,0,1359,0,,32
West Vernon,south-la,2020-05-27,0,53644,0,49,46
West Whittier/Los Nietos,southeast,2020-05-27,0,26925,0,20,32
Westchester,south-bay,2020-05-27,0,51603,0,36,36
Westfield/Academy Hills,south-bay,2020-05-27,0,1300,0,,
Westhills,san-fernando-valley,2020-05-27,0,839,0,,
Westlake,central-la,2020-05-27,0,59355,0,46,44
Westlake Village,santa-monica-mountains,2020-05-27,0,8360,0,,
Westwood,westside,2020-05-27,0,54109,0,25,20
White Fence Farms,antelope-valley,2020-05-27,0,3683,0,,3
Whittier,san-gabriel-valley,2020-05-27,0,91216,0,46,32
Whittier Narrows,san-gabriel-valley,2020-05-27,0,0,NaN,,
Wholesale District,central-la,2020-05-27,0,36129,0,35,37
Wholesale District*,,2020-05-25,602,,,0,
Willowbrook,south-la,2020-05-27,0,34913,0,26,35
Wilmington,harbor,2020-05-27,0,56487,0,37,36
Wilshire Center,central-la,2020-05-27,0,50170,0,42,42
Winnetka,san-fernando-valley,2020-05-27,0,51786,0,43,43
Wiseburn,south-bay,2020-05-27,0,6027,0,,28
Woodland Hills,san-fernando-valley,2020-05-27,0,68055,0,51,44
