hood.name,has.la.hood,has.uninc.hood,has.inc.city,count.original,original.labels,population,hood.type
Cloverdale/Cochran,TRUE,FALSE,FALSE,1,Los Angeles - Cloverdale/Cochran,14553,segment-of-a-city
Commerce,FALSE,FALSE,TRUE,1,City of Commerce,13069,standalone-city
Compton,FALSE,FALSE,TRUE,1,City of Compton,99904,standalone-city
Country Club Park,TRUE,FALSE,FALSE,1,Los Angeles - Country Club Park,15153,segment-of-a-city
Covina,FALSE,TRUE,TRUE,2,City of Covina | Unincorporated - Covina,65851,standalone-city
Covina (Charter Oak),FALSE,TRUE,FALSE,1,Unincorporated - Covina (Charter Oak),13144,unincorporated-area
Crenshaw District,TRUE,FALSE,FALSE,1,Los Angeles - Crenshaw District,13829,segment-of-a-city
Crestview,TRUE,FALSE,FALSE,1,Los Angeles - Crestview,11368,segment-of-a-city
Cudahy,FALSE,FALSE,TRUE,1,City of Cudahy,24347,standalone-city
Culver City,FALSE,FALSE,TRUE,1,City of Culver City,39865,standalone-city
Del Aire,FALSE,TRUE,FALSE,1,Unincorporated - Del Aire,4393,unincorporated-area
Del Rey,TRUE,TRUE,FALSE,2,Los Angeles - Del Rey | Unincorporated - Del Rey,30254,segment-of-a-city
Del Sur,FALSE,TRUE,FALSE,1,Unincorporated - Del Sur,2415,unincorporated-area
Desert View Highlands,FALSE,TRUE,FALSE,1,Unincorporated - Desert View Highlands,2493,unincorporated-area
Diamond Bar,FALSE,FALSE,TRUE,1,City of Diamond Bar,57515,standalone-city
Downey,FALSE,FALSE,TRUE,1,City of Downey,114263,standalone-city
Downtown,TRUE,FALSE,FALSE,1,Los Angeles - Downtown,27507,segment-of-a-city
Duarte,FALSE,TRUE,TRUE,2,City of Duarte | Unincorporated - Duarte,26444,standalone-city
Eagle Rock,TRUE,FALSE,FALSE,1,Los Angeles - Eagle Rock,39589,segment-of-a-city
East Covina,FALSE,TRUE,FALSE,1,Unincorporated - East Covina,329,unincorporated-area
East Hollywood,TRUE,FALSE,FALSE,1,Los Angeles - East Hollywood,29287,segment-of-a-city
East La Mirada,FALSE,TRUE,FALSE,1,Unincorporated - East La Mirada,5292,unincorporated-area
East Lancaster,FALSE,TRUE,FALSE,1,Unincorporated - East Lancaster,114,unincorporated-area
East Los Angeles,FALSE,TRUE,FALSE,1,Unincorporated - East Los Angeles,125269,unincorporated-area
East Pasadena,FALSE,TRUE,FALSE,1,Unincorporated - East Pasadena,6403,unincorporated-area
East Rancho Dominguez,FALSE,TRUE,FALSE,1,Unincorporated - East Rancho Dominguez,15308,unincorporated-area
East Whittier,FALSE,TRUE,FALSE,1,Unincorporated - East Whittier,5306,unincorporated-area
Echo Park,TRUE,FALSE,FALSE,1,Los Angeles - Echo Park,14256,segment-of-a-city
El Camino Village,FALSE,TRUE,FALSE,1,Unincorporated - El Camino Village,8791,unincorporated-area
El Monte,FALSE,TRUE,TRUE,2,City of El Monte | Unincorporated - El Monte,117414,standalone-city
El Segundo,FALSE,FALSE,TRUE,1,City of El Segundo,16786,standalone-city
El Sereno,TRUE,FALSE,FALSE,1,Los Angeles - El Sereno,41808,segment-of-a-city
Elizabeth Lake,FALSE,TRUE,FALSE,1,Unincorporated - Elizabeth Lake,1661,unincorporated-area
Elysian Park,TRUE,FALSE,FALSE,1,Los Angeles - Elysian Park,5712,segment-of-a-city
Elysian Valley,TRUE,FALSE,FALSE,1,Los Angeles - Elysian Valley,10171,segment-of-a-city
Encino,TRUE,FALSE,FALSE,1,Los Angeles - Encino,45172,segment-of-a-city
Exposition,TRUE,FALSE,FALSE,1,Los Angeles - Exposition,3326,segment-of-a-city
Exposition Park,TRUE,FALSE,FALSE,1,Los Angeles - Exposition Park,44917,segment-of-a-city
Faircrest Heights,TRUE,FALSE,FALSE,1,Los Angeles - Faircrest Heights,3600,segment-of-a-city
Figueroa Park Square,TRUE,FALSE,FALSE,1,Los Angeles - Figueroa Park Square,8721,segment-of-a-city
Florence-Firestone,TRUE,TRUE,FALSE,2,Los Angeles - Florence-Firestone | Unincorporated - Florence-Firestone,112150,segment-of-a-city
Franklin Canyon,FALSE,TRUE,FALSE,1,Unincorporated - Franklin Canyon,0,unincorporated-area
Gardena,FALSE,FALSE,TRUE,1,City of Gardena,61310,standalone-city
Glassell Park,TRUE,FALSE,FALSE,1,Los Angeles - Glassell Park,31604,segment-of-a-city
Glendale,FALSE,FALSE,TRUE,1,City of Glendale,206493,standalone-city
Glendora,FALSE,TRUE,TRUE,2,City of Glendora | Unincorporated - Glendora,53424,standalone-city
Gramercy Place,TRUE,FALSE,FALSE,1,Los Angeles - Gramercy Place,10764,segment-of-a-city
Granada Hills,TRUE,FALSE,FALSE,1,Los Angeles - Granada Hills,58191,segment-of-a-city
Green Meadows,TRUE,FALSE,FALSE,1,Los Angeles - Green Meadows,21505,segment-of-a-city
Hacienda Heights,FALSE,TRUE,FALSE,1,Unincorporated - Hacienda Heights,55926,unincorporated-area
Hancock Park,TRUE,FALSE,FALSE,1,Los Angeles - Hancock Park,17039,segment-of-a-city
Harbor City,TRUE,FALSE,FALSE,1,Los Angeles - Harbor City,29070,segment-of-a-city
Harbor Gateway,TRUE,TRUE,FALSE,2,Los Angeles - Harbor Gateway | Unincorporated - Harbor Gateway,43600,segment-of-a-city
Harbor Pines,TRUE,FALSE,FALSE,1,Los Angeles - Harbor Pines,2409,segment-of-a-city
Harvard Heights,TRUE,FALSE,FALSE,1,Los Angeles - Harvard Heights,18035,segment-of-a-city
Harvard Park,TRUE,FALSE,FALSE,1,Los Angeles - Harvard Park,37935,segment-of-a-city
Hawaiian Gardens,FALSE,FALSE,TRUE,1,City of Hawaiian Gardens,14676,standalone-city
Hawthorne,FALSE,TRUE,TRUE,2,City of Hawthorne | Unincorporated - Hawthorne,91301,standalone-city
Hermosa Beach,FALSE,FALSE,TRUE,1,City of Hermosa Beach,19670,standalone-city
Hi Vista,FALSE,TRUE,FALSE,1,Unincorporated - Hi Vista,1098,unincorporated-area
Hidden Hills,FALSE,FALSE,TRUE,1,City of Hidden Hills,1890,standalone-city
Highland Park,TRUE,FALSE,FALSE,1,Los Angeles - Highland Park,48391,segment-of-a-city
Historic Filipinotown,TRUE,FALSE,FALSE,1,Los Angeles - Historic Filipinotown,13870,segment-of-a-city
Hollywood,TRUE,FALSE,FALSE,1,Los Angeles - Hollywood,68254,segment-of-a-city
Hollywood Hills,TRUE,FALSE,FALSE,1,Los Angeles - Hollywood Hills,29434,segment-of-a-city
Huntington Park,FALSE,FALSE,TRUE,1,City of Huntington Park,59484,standalone-city
Hyde Park,TRUE,FALSE,FALSE,1,Los Angeles - Hyde Park,28541,segment-of-a-city
Industry,FALSE,FALSE,TRUE,1,City of Industry,437,standalone-city
Inglewood,FALSE,FALSE,TRUE,1,City of Inglewood,113582,standalone-city
Irwindale,FALSE,FALSE,TRUE,1,City of Irwindale,1459,standalone-city
Jefferson Park,TRUE,FALSE,FALSE,1,Los Angeles - Jefferson Park,8073,segment-of-a-city
Kagel/Lopez Canyons,FALSE,TRUE,FALSE,1,Unincorporated - Kagel/Lopez Canyons,1412,unincorporated-area
Koreatown,TRUE,FALSE,FALSE,1,Los Angeles - Koreatown,51693,segment-of-a-city
La Canada Flintridge,FALSE,FALSE,TRUE,1,City of La Canada Flintridge,20693,standalone-city
La Crescenta-Montrose,FALSE,TRUE,FALSE,1,Unincorporated - La Crescenta-Montrose,19801,unincorporated-area
La Habra Heights,FALSE,TRUE,TRUE,2,City of La Habra Heights | Unincorporated - La Habra Heights,5455,standalone-city
La Mirada,FALSE,FALSE,TRUE,1,City of La Mirada,49599,standalone-city
La Puente,FALSE,FALSE,TRUE,1,City of La Puente,40697,standalone-city
La Rambla,FALSE,TRUE,FALSE,1,Unincorporated - La Rambla,2075,unincorporated-area
La Verne,FALSE,TRUE,TRUE,2,City of La Verne | Unincorporated - La Verne,35322,standalone-city
Ladera Heights,FALSE,TRUE,FALSE,1,Unincorporated - Ladera Heights,7071,unincorporated-area
Lafayette Square,TRUE,FALSE,FALSE,1,Los Angeles - Lafayette Square,4559,segment-of-a-city
Lake Balboa,TRUE,FALSE,FALSE,1,Los Angeles - Lake Balboa,42206,segment-of-a-city
Lake Hughes,FALSE,TRUE,FALSE,1,Unincorporated - Lake Hughes,668,unincorporated-area
Lake Los Angeles,FALSE,TRUE,FALSE,1,Unincorporated - Lake Los Angeles,12994,unincorporated-area
Lake Manor,FALSE,TRUE,FALSE,1,Unincorporated - Lake Manor,1643,unincorporated-area
Lakeview Terrace,TRUE,FALSE,FALSE,1,Los Angeles - Lakeview Terrace,13133,segment-of-a-city
Lakewood,FALSE,TRUE,TRUE,2,City of Lakewood | Unincorporated - Lakewood,80362,standalone-city
Lancaster,FALSE,FALSE,TRUE,1,City of Lancaster,161570,standalone-city
Lawndale,FALSE,FALSE,TRUE,1,City of Lawndale,33614,standalone-city
Leimert Park,TRUE,FALSE,FALSE,1,Los Angeles - Leimert Park,15235,segment-of-a-city
Lennox,FALSE,TRUE,FALSE,1,Unincorporated - Lennox,22542,unincorporated-area
Leona Valley,FALSE,TRUE,FALSE,1,Unincorporated - Leona Valley,1751,unincorporated-area
Lincoln Heights,TRUE,FALSE,FALSE,1,Los Angeles - Lincoln Heights,32597,segment-of-a-city
Little Armenia,TRUE,FALSE,FALSE,1,Los Angeles - Little Armenia,8025,segment-of-a-city
Little Bangladesh,TRUE,FALSE,FALSE,1,Los Angeles - Little Bangladesh,28343,segment-of-a-city
Little Tokyo,TRUE,FALSE,FALSE,1,Los Angeles - Little Tokyo,3133,segment-of-a-city
Littlerock,FALSE,TRUE,FALSE,1,Unincorporated - Littlerock,4021,unincorporated-area
Littlerock/Juniper Hills,FALSE,TRUE,FALSE,1,Unincorporated - Littlerock/Juniper Hills,1297,unincorporated-area
Littlerock/Pearblossom,FALSE,TRUE,FALSE,1,Unincorporated - Littlerock/Pearblossom,3569,unincorporated-area
Llano,FALSE,TRUE,FALSE,1,Unincorporated - Llano,877,unincorporated-area
Lomita,FALSE,FALSE,TRUE,1,City of Lomita,20729,standalone-city
Long Beach,FALSE,TRUE,TRUE,2,City of Long Beach | Unincorporated - Long Beach,467354,standalone-city
Longwood,TRUE,FALSE,FALSE,1,Los Angeles - Longwood,4304,segment-of-a-city
Los Feliz,TRUE,FALSE,FALSE,1,Los Angeles - Los Feliz,21608,segment-of-a-city
Lynwood,FALSE,TRUE,TRUE,2,City of Lynwood | Unincorporated - Lynwood,72047,standalone-city
Malibu,FALSE,FALSE,TRUE,1,City of Malibu,12961,standalone-city
Manchester Square,TRUE,FALSE,FALSE,1,Los Angeles - Manchester Square,8536,segment-of-a-city
Mandeville Canyon,TRUE,FALSE,FALSE,1,Los Angeles - Mandeville Canyon,3124,segment-of-a-city
Manhattan Beach,FALSE,FALSE,TRUE,1,City of Manhattan Beach,35999,standalone-city
Mar Vista,TRUE,FALSE,FALSE,1,Los Angeles - Mar Vista,42471,segment-of-a-city
Marina del Rey,FALSE,TRUE,FALSE,1,Unincorporated - Marina del Rey,9411,unincorporated-area
Marina Peninsula,TRUE,FALSE,FALSE,1,Los Angeles - Marina Peninsula,4360,segment-of-a-city
Maywood,FALSE,FALSE,TRUE,1,City of Maywood,28049,standalone-city
Melrose,TRUE,FALSE,FALSE,1,Los Angeles - Melrose,77696,segment-of-a-city
Mid-city,TRUE,FALSE,FALSE,1,Los Angeles - Mid-city,15030,segment-of-a-city
Miracle Mile,TRUE,TRUE,FALSE,2,Los Angeles - Miracle Mile | Unincorporated - Miracle Mile,17985,segment-of-a-city
Mission Hills,TRUE,FALSE,FALSE,1,Los Angeles - Mission Hills,24124,segment-of-a-city
Monrovia,FALSE,TRUE,TRUE,2,Unincorporated - Monrovia | City of Monrovia,42681,standalone-city
Montebello,FALSE,FALSE,TRUE,1,City of Montebello,64375,standalone-city
Monterey Park,FALSE,FALSE,TRUE,1,City of Monterey Park,62262,standalone-city
Mt. Washington,TRUE,FALSE,FALSE,1,Los Angeles - Mt. Washington,24145,segment-of-a-city
Newhall,FALSE,TRUE,FALSE,1,Unincorporated - Newhall,0,unincorporated-area
North Hills,TRUE,FALSE,FALSE,1,Los Angeles - North Hills,61575,segment-of-a-city
North Hollywood,TRUE,FALSE,FALSE,1,Los Angeles - North Hollywood,151421,segment-of-a-city
North Lancaster,FALSE,TRUE,FALSE,1,Unincorporated - North Lancaster,1198,unincorporated-area
North Whittier,FALSE,TRUE,FALSE,1,Unincorporated - North Whittier,8360,unincorporated-area
Northeast San Gabriel,FALSE,TRUE,FALSE,1,Unincorporated - Northeast San Gabriel,24036,unincorporated-area
Northridge,TRUE,FALSE,FALSE,1,Los Angeles - Northridge,69797,segment-of-a-city
Norwalk,FALSE,FALSE,TRUE,1,City of Norwalk,107622,standalone-city
Pacific Palisades,TRUE,FALSE,FALSE,1,Los Angeles - Pacific Palisades,21291,segment-of-a-city
Pacoima,TRUE,FALSE,FALSE,1,Los Angeles - Pacoima,76979,segment-of-a-city
Padua Hills,FALSE,TRUE,FALSE,1,Unincorporated - Padua Hills,0,unincorporated-area
Palisades Highlands,TRUE,FALSE,FALSE,1,Los Angeles - Palisades Highlands,3846,segment-of-a-city
Palmdale,FALSE,TRUE,TRUE,2,City of Palmdale | Unincorporated - Palmdale,159810,standalone-city
Palms,TRUE,FALSE,FALSE,1,Los Angeles - Palms,43877,segment-of-a-city
Palos Verdes Estates,FALSE,FALSE,TRUE,1,City of Palos Verdes Estates,13522,standalone-city
Palos Verdes Peninsula,FALSE,TRUE,FALSE,1,Unincorporated - Palos Verdes Peninsula,621,unincorporated-area
Panorama City,TRUE,FALSE,FALSE,1,Los Angeles - Panorama City,75250,segment-of-a-city
Paramount,FALSE,FALSE,TRUE,1,City of Paramount,56023,standalone-city
Park La Brea,TRUE,FALSE,FALSE,1,Los Angeles - Park La Brea,13580,segment-of-a-city
Pasadena,FALSE,FALSE,TRUE,1,City of Pasadena,138101,standalone-city
Pearblossom/Llano,FALSE,TRUE,FALSE,1,Unincorporated - Pearblossom/Llano,1956,unincorporated-area
Pellissier Village,FALSE,TRUE,FALSE,1,Unincorporated - Pellissier Village,619,unincorporated-area
Pico Rivera,FALSE,FALSE,TRUE,1,City of Pico Rivera,64284,standalone-city
Pico-Union,TRUE,FALSE,FALSE,1,Los Angeles - Pico-Union,41842,segment-of-a-city
Placerita Canyon,FALSE,TRUE,FALSE,1,Unincorporated - Placerita Canyon,460,unincorporated-area
Playa Del Rey,TRUE,FALSE,FALSE,1,Los Angeles - Playa Del Rey,3196,segment-of-a-city
Playa Vista,TRUE,FALSE,FALSE,1,Los Angeles - Playa Vista,10947,segment-of-a-city
Pomona,FALSE,TRUE,TRUE,2,Unincorporated - Pomona | City of Pomona,157869,standalone-city
Porter Ranch,TRUE,FALSE,FALSE,1,Los Angeles - Porter Ranch,35588,segment-of-a-city
Quartz Hill,FALSE,TRUE,FALSE,1,Unincorporated - Quartz Hill,12906,unincorporated-area
Rancho Dominguez,FALSE,TRUE,FALSE,1,Unincorporated - Rancho Dominguez,2661,unincorporated-area
Rancho Palos Verdes,FALSE,FALSE,TRUE,1,City of Rancho Palos Verdes,42747,standalone-city
Rancho Park,TRUE,FALSE,FALSE,1,Los Angeles - Rancho Park,6560,segment-of-a-city
Redondo Beach,FALSE,FALSE,TRUE,1,City of Redondo Beach,68697,standalone-city
Regent Square,TRUE,FALSE,FALSE,1,Los Angeles - Regent Square,2780,segment-of-a-city
Reseda,TRUE,FALSE,FALSE,1,Los Angeles - Reseda,76617,segment-of-a-city
Reseda Ranch,TRUE,FALSE,FALSE,1,Los Angeles - Reseda Ranch,4636,segment-of-a-city
Reynier Village,TRUE,FALSE,FALSE,1,Los Angeles - Reynier Village,4228,segment-of-a-city
Rolling Hills,FALSE,FALSE,TRUE,1,City of Rolling Hills,1940,standalone-city
Rolling Hills Estates,FALSE,FALSE,TRUE,1,City of Rolling Hills Estates,8113,standalone-city
Roosevelt,FALSE,TRUE,FALSE,1,Unincorporated - Roosevelt,931,unincorporated-area
Rosemead,FALSE,FALSE,TRUE,1,City of Rosemead,55350,standalone-city
Rosewood,FALSE,TRUE,FALSE,1,Unincorporated - Rosewood,1286,unincorporated-area
Rosewood/East Gardena,FALSE,TRUE,FALSE,1,Unincorporated - Rosewood/East Gardena,1193,unincorporated-area
Rosewood/West Rancho Dominguez,FALSE,TRUE,FALSE,1,Unincorporated - Rosewood/West Rancho Dominguez,3361,unincorporated-area
Rowland Heights,FALSE,TRUE,FALSE,1,Unincorporated - Rowland Heights,51022,unincorporated-area
San Clemente Island,FALSE,TRUE,FALSE,1,Unincorporated - San Clemente Island,0,unincorporated-area
San Dimas,FALSE,FALSE,TRUE,1,City of San Dimas,34516,standalone-city
San Fernando,FALSE,FALSE,TRUE,1,City of San Fernando,24612,standalone-city
San Francisquito Canyon/Bouquet Canyon,FALSE,TRUE,FALSE,1,Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,unincorporated-area
San Gabriel,FALSE,FALSE,TRUE,1,City of San Gabriel,40954,standalone-city
San Jose Hills,FALSE,TRUE,FALSE,1,Unincorporated - San Jose Hills,20221,unincorporated-area
San Marino,FALSE,FALSE,TRUE,1,City of San Marino,13277,standalone-city
San Pasqual,FALSE,TRUE,FALSE,1,Unincorporated - San Pasqual,2035,unincorporated-area
San Pedro,TRUE,FALSE,FALSE,1,Los Angeles - San Pedro,78038,segment-of-a-city
Sand Canyon,FALSE,TRUE,FALSE,1,Unincorporated - Sand Canyon,0,unincorporated-area
Santa Catalina Island,FALSE,TRUE,FALSE,1,Unincorporated - Santa Catalina Island,267,unincorporated-area
Santa Clarita,FALSE,FALSE,TRUE,1,City of Santa Clarita,220424,standalone-city
Santa Fe Springs,FALSE,FALSE,TRUE,1,City of Santa Fe Springs,18364,standalone-city
Santa Monica,FALSE,FALSE,TRUE,1,City of Santa Monica,92446,standalone-city
Santa Monica Mountains,FALSE,TRUE,FALSE,1,Unincorporated - Santa Monica Mountains,18621,unincorporated-area
Saugus,FALSE,TRUE,FALSE,1,Unincorporated - Saugus,155,unincorporated-area
Saugus/Canyon Country,FALSE,TRUE,FALSE,1,Unincorporated - Saugus/Canyon Country,356,unincorporated-area
Shadow Hills,TRUE,FALSE,FALSE,1,Los Angeles - Shadow Hills,4442,segment-of-a-city
Sherman Oaks,TRUE,FALSE,FALSE,1,Los Angeles - Sherman Oaks,87254,segment-of-a-city
Sierra Madre,FALSE,FALSE,TRUE,1,City of Sierra Madre,10989,standalone-city
Signal Hill,FALSE,FALSE,TRUE,1,City of Signal Hill,11797,standalone-city
Silverlake,TRUE,FALSE,FALSE,1,Los Angeles - Silverlake,44083,segment-of-a-city
South Antelope Valley,FALSE,TRUE,FALSE,1,Unincorporated - South Antelope Valley,455,unincorporated-area
South Carthay,TRUE,FALSE,FALSE,1,Los Angeles - South Carthay,10595,segment-of-a-city
South Edwards,FALSE,TRUE,FALSE,1,Unincorporated - South Edwards,0,unincorporated-area
South El Monte,FALSE,TRUE,TRUE,2,City of South El Monte | Unincorporated - South El Monte,22680,standalone-city
South Gate,FALSE,FALSE,TRUE,1,City of South Gate,98155,standalone-city
South Park,TRUE,FALSE,FALSE,1,Los Angeles - South Park,37961,segment-of-a-city
South Pasadena,FALSE,FALSE,TRUE,1,City of South Pasadena,26053,standalone-city
South San Gabriel,FALSE,TRUE,FALSE,1,Unincorporated - South San Gabriel,8848,unincorporated-area
South Whittier,FALSE,TRUE,FALSE,1,Unincorporated - South Whittier,59222,unincorporated-area
Southeast Antelope Valley,FALSE,TRUE,FALSE,1,Unincorporated - Southeast Antelope Valley,781,unincorporated-area
St Elmo Village,TRUE,FALSE,FALSE,1,Los Angeles - St Elmo Village,4584,segment-of-a-city
Stevenson Ranch,FALSE,TRUE,FALSE,1,Unincorporated - Stevenson Ranch,20966,unincorporated-area
Studio City,TRUE,FALSE,FALSE,1,Los Angeles - Studio City,22440,segment-of-a-city
Sun Valley,TRUE,FALSE,FALSE,1,Los Angeles - Sun Valley,52483,segment-of-a-city
Sun Village,FALSE,TRUE,FALSE,1,Unincorporated - Sun Village,6036,unincorporated-area
Sunland,TRUE,FALSE,FALSE,1,Los Angeles - Sunland,20408,segment-of-a-city
Sunrise Village,FALSE,TRUE,FALSE,1,Unincorporated - Sunrise Village,1296,unincorporated-area
Sycamore Square,TRUE,FALSE,FALSE,1,Los Angeles - Sycamore Square,647,segment-of-a-city
Sylmar,TRUE,FALSE,FALSE,1,Los Angeles - Sylmar,82398,segment-of-a-city
Tarzana,TRUE,FALSE,FALSE,1,Los Angeles - Tarzana,30876,segment-of-a-city
Temple City,FALSE,FALSE,TRUE,1,City of Temple City,36455,standalone-city
Temple-Beaudry,TRUE,FALSE,FALSE,1,Los Angeles - Temple-Beaudry,39482,segment-of-a-city
Thai Town,TRUE,FALSE,FALSE,1,Los Angeles - Thai Town,9809,segment-of-a-city
Toluca Lake,TRUE,FALSE,FALSE,1,Los Angeles - Toluca Lake,8704,segment-of-a-city
Toluca Terrace,TRUE,FALSE,FALSE,1,Los Angeles - Toluca Terrace,1306,segment-of-a-city
Toluca Woods,TRUE,FALSE,FALSE,1,Los Angeles - Toluca Woods,1858,segment-of-a-city
Torrance,FALSE,FALSE,TRUE,1,City of Torrance,149268,standalone-city
Tujunga,TRUE,FALSE,FALSE,1,Los Angeles - Tujunga,27810,segment-of-a-city
Twin Lakes/Oat Mountain,FALSE,TRUE,FALSE,1,Unincorporated - Twin Lakes/Oat Mountain,1658,unincorporated-area
Universal City,FALSE,TRUE,FALSE,1,Unincorporated - Universal City,0,unincorporated-area
University Hills,TRUE,FALSE,FALSE,1,Los Angeles - University Hills,3429,segment-of-a-city
University Park,TRUE,FALSE,FALSE,1,Los Angeles - University Park,27456,segment-of-a-city
Val Verde,FALSE,TRUE,FALSE,1,Unincorporated - Val Verde,3309,unincorporated-area
Valencia,FALSE,TRUE,FALSE,1,Unincorporated - Valencia,3072,unincorporated-area
Valinda,FALSE,TRUE,FALSE,1,Unincorporated - Valinda,23371,unincorporated-area
Valley Glen,TRUE,FALSE,FALSE,1,Los Angeles - Valley Glen,30016,segment-of-a-city
Valley Village,TRUE,FALSE,FALSE,1,Los Angeles - Valley Village,24720,segment-of-a-city
Van Nuys,TRUE,FALSE,FALSE,1,Los Angeles - Van Nuys,93194,segment-of-a-city
Venice,TRUE,FALSE,FALSE,1,Los Angeles - Venice,33885,segment-of-a-city
Vermont Knolls,TRUE,FALSE,FALSE,1,Los Angeles - Vermont Knolls,17200,segment-of-a-city
Vermont Square,TRUE,FALSE,FALSE,1,Los Angeles - Vermont Square,7657,segment-of-a-city
Vermont Vista,TRUE,FALSE,FALSE,1,Los Angeles - Vermont Vista,41186,segment-of-a-city
