"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"222","Unincorporated - Agua Dulce",2,2,85.41,0,0,0,26,625.3,668.65,4158
"223","Unincorporated - Altadena",86,86,201.14,4,9.17,8.71,256,586.89,597.34,43620
"224","Unincorporated - Anaverde",1,1,118.77,0,0,0,7,464.19,625.21,1508
"225","Unincorporated - Arcadia",4,4,48.89,1,12.53,7.6,36,451.07,412.96,7981
"226","Unincorporated - Athens Village",16,16,381.89,2,40.84,37.88,38,775.99,844.24,4897
"227","Unincorporated - Athens-Westmont",126,126,293.8,5,11.78,11.88,406,956.6,965.99,42442
"228","Unincorporated - Avocado Heights",14,14,215.62,1,14.76,14.23,35,516.61,505.43,6775
"229","Unincorporated - Azusa",29,29,186.89,1,6.28,9.51,76,477.3,466.39,15923
"230","Unincorporated - Bassett",35,35,232.9,1,6.75,8.18,86,580.41,564.08,14817
"231","Unincorporated - Canyon Country",28,28,375.41,0,0,0,98,1268.12,1367.24,7728
"232","Unincorporated - Castaic",163,163,588.93,1,3.68,5.37,178,654.63,676.21,27191
"233","Unincorporated - Covina",32,32,188.97,0,0,0,104,618.35,576.9,16819
"234","Unincorporated - Covina (Charter Oak)",22,22,162.49,0,0,0,80,608.64,578.62,13144
"235","Unincorporated - Del Aire",10,10,212.67,1,22.76,25.49,47,1069.88,978.52,4393
"236","Unincorporated - Del Sur",2,2,39.71,1,41.41,20.41,19,786.75,874.86,2415
"237","Unincorporated - Desert View Highlands",4,4,138.67,1,40.11,24.25,14,561.57,571.65,2493
"238","Unincorporated - Duarte",10,10,235.12,0,0,0,26,587.17,640.74,4428
"239","Unincorporated - East La Mirada",9,9,160.39,0,0,0,27,510.2,508.22,5292
"240","Unincorporated - East Los Angeles",454,454,374.25,25,19.96,23.12,781,623.46,640.5,125269
"241","Unincorporated - East Rancho Dominguez",26,26,175.6,1,6.53,7.79,65,424.61,462.74,15308
"242","Unincorporated - East Whittier",4,4,84.72,0,0,0,28,527.7,559.21,5306
"243","Unincorporated - El Camino Village",12,12,143.11,0,0,0,63,716.64,695.18,8791
"244","Unincorporated - Elizabeth Lake",1,1,50.81,0,0,0,6,361.23,431.38,1661
"245","Unincorporated - Florence-Firestone",288,288,483.33,10,15.45,22.49,345,533.19,569.81,64705
"246","Unincorporated - Glendora",2,2,456.23,0,0,0,5,757.58,1088.68,660
"247","Unincorporated - Hacienda Heights",64,64,104.97,1,1.79,1.22,266,475.63,472.84,55926
"248","Unincorporated - Hawthorne",4,4,150.27,0,0,0,13,517.1,513.06,2514
"249","Unincorporated - Kagel/Lopez Canyons",1,1,113.75,0,0,0,12,849.86,778.81,1412
"250","Unincorporated - La Crescenta-Montrose",17,17,97.14,1,5.05,3.11,160,808.04,855.17,19801
"251","Unincorporated - La Rambla",6,6,267.49,0,0,0,32,1542.17,1441.2,2075
"252","Unincorporated - La Verne",2,2,126.06,0,0,0,6,294.12,264.01,2040
"253","Unincorporated - Ladera Heights",17,17,160.55,1,14.14,6.58,131,1852.64,1376.24,7071
"254","Unincorporated - Lake Los Angeles",25,25,210.18,2,15.39,24.6,90,692.63,731.92,12994
"255","Unincorporated - Lake Manor",3,3,176.34,0,0,0,22,1339.01,1352.05,1643
"256","Unincorporated - Lennox",63,63,290.5,0,0,0,131,581.14,615.06,22542
"257","Unincorporated - Leona Valley",1,1,44.62,0,0,0,12,685.32,528.96,1751
"258","Unincorporated - Littlerock",11,11,275.16,0,0,0,28,696.34,735.68,4021
"259","Unincorporated - Littlerock/Juniper Hills",1,1,40.38,0,0,0,18,1387.82,1068.26,1297
"260","Unincorporated - Littlerock/Pearblossom",7,7,190.17,0,0,0,16,448.3,429.31,3569
"261","Unincorporated - Llano",1,1,109.37,0,0,0,3,342.08,222.56,877
"262","Unincorporated - Marina del Rey",11,11,95.03,1,10.63,12.84,122,1296.36,1058.31,9411
"263","Unincorporated - Monrovia",11,11,302.04,0,0,0,24,618.4,654.88,3881
"264","Unincorporated - North Lancaster",3,3,250.25,0,0,0,9,751.25,677.84,1198
"265","Unincorporated - North Whittier",6,6,66.1,1,11.96,11.3,53,633.97,634.13,8360
"266","Unincorporated - Northeast San Gabriel",21,21,78.94,2,8.32,8.67,99,411.88,414.06,24036
"267","Unincorporated - Palmdale",4,4,537.19,0,0,0,4,475.06,704.17,842
"268","Unincorporated - Pearblossom/Llano",2,2,53.94,0,0,0,8,409,318.16,1956
"269","Unincorporated - Pomona",1,1,98.89,0,0,0,4,206.4,468.77,1938
"270","Unincorporated - Quartz Hill",29,29,205.62,5,38.74,29.28,80,619.87,570.55,12906
"271","Unincorporated - Rancho Dominguez",12,12,390.21,1,37.58,18.32,34,1277.72,1168.55,2661
"272","Unincorporated - Rosewood",5,5,539.67,0,0,0,20,1555.21,1601.2,1286
"273","Unincorporated - Rosewood/West Rancho Dominguez",11,11,355.45,0,0,0,0,0,0,3361
"274","Unincorporated - Rowland Heights",67,67,125.8,2,3.92,3.12,208,407.67,366.18,51022
"275","Unincorporated - San Jose Hills",28,28,142.22,1,4.95,5.05,94,464.86,471.17,20221
"276","Unincorporated - Santa Catalina Island",2,2,2700,0,0,0,5,1872.66,1376.3,267
"277","Unincorporated - Santa Monica Mountains",19,19,115.85,1,5.37,2.44,297,1594.97,1628.26,18621
"278","Unincorporated - Saugus",4,4,2844.41,0,0,0,28,18064.52,19543.85,155
"279","Unincorporated - South El Monte",2,2,87.37,0,0,0,4,222.84,189.42,1795
"280","Unincorporated - South San Gabriel",14,14,113.6,1,11.3,7.19,39,440.78,398.45,8848
"281","Unincorporated - South Whittier",81,81,133.68,6,10.13,9.59,310,523.45,523.76,59222
"282","Unincorporated - Stevenson Ranch",21,21,102.54,0,0,0,162,772.68,782.67,20966
"283","Unincorporated - Sun Village",7,7,129.46,0,0,0,25,414.18,460.34,6036
