hood.name,mapla.region.slug,date,confirmed.cases,population,case.rate,days.since.case.cutoff,days.since.case.rate.cutoff
Little Tokyo,central-la,2020-05-11,9,3133,0.0028726460261729973,,7
Littlerock,antelope-valley,2020-05-11,11,4021,0.002735637901019647,,7
Littlerock/Juniper Hills,antelope-valley,2020-05-11,1,1297,7.710100231303007e-4,,
Littlerock/Pearblossom,antelope-valley,2020-05-11,10,3569,0.002801905295601009,,0
Llano,antelope-valley,2020-05-11,1,877,0.0011402508551881414,,
Lomita,south-bay,2020-05-11,41,20729,0.001977905349992764,,
Long Beach,harbor,2020-05-11,953,467354,0.002039139495970934,45,1
Longwood,central-la,2020-05-11,18,4304,0.004182156133828996,,19
Los Feliz,central-la,2020-05-11,38,21608,0.0017586079229914846,,
Lynwood,southeast,2020-05-11,276,72047,0.003830832650908435,33,17
Malibu,santa-monica-mountains,2020-05-11,32,12961,0.002468945297430754,,20
Manchester Square,south-la,2020-05-11,17,8536,0.001991565135895033,,
Mandeville Canyon,westside,2020-05-11,1,3124,3.201024327784891e-4,,
Manhattan Beach,south-bay,2020-05-11,69,35999,0.001916719908886358,34,
Mar Vista,westside,2020-05-11,64,42471,0.0015069105978196887,16,
Marina del Rey,westside,2020-05-11,13,9411,0.0013813622356816492,,
Marina Peninsula,westside,2020-05-11,9,4360,0.0020642201834862386,,20
Maywood,southeast,2020-05-11,90,28049,0.0032086705408392456,17,13
Melrose,central-la,2020-05-11,412,77696,0.005302718286655684,44,34
Mid-city,central-la,2020-05-11,43,15030,0.002860944777112442,,20
Miracle Mile,central-la,2020-05-11,37,17985,0.002057269947178204,,16
Mission Hills,san-fernando-valley,2020-05-11,97,24124,0.0040208920577018735,18,19
Monrovia,san-gabriel-valley,2020-05-11,104,42681,0.0024366814273330054,12,3
Montebello,southeast,2020-05-11,215,64375,0.0033398058252427183,29,10
Monterey Park,san-gabriel-valley,2020-05-11,108,62262,0.0017346053772766695,19,
Mt. Washington,northeast-la,2020-05-11,65,24145,0.002692068751294264,10,10
Newhall,northwest-county,2020-05-11,0,0,NaN,,
North Hills,san-fernando-valley,2020-05-11,263,61575,0.0042712139667072675,27,14
North Hollywood,san-fernando-valley,2020-05-11,489,151421,0.0032294067533565358,39,14
